Player,GP,G,A,TP,PPG,PIM,POS,firstYear,lastYear,Awards,Cups,All-Star Games,HoF
Libor Hajek,33,1,5,6,0.182,18,2,2018,2021,0,0,0,0
Andy Welinski,35,1,5,6,0.171,8,2,2017,2021,0,0,0,0
A.J. Greer,37,1,5,6,0.162,47,1,2016,2019,0,0,0,0
Lawrence Pilut,46,1,5,6,0.13,24,2,2018,2020,0,0,0,0
Isac Lundestrom,32,0,6,6,0.188,2,1,2018,2021,0,0,0,0
Juho Lammikko,40,0,6,6,0.15,6,1,2018,2021,0,0,0,0
Jake Evans,18,4,1,5,0.278,0,1,2019,2021,0,0,0,0
Ryan Poehling,28,4,1,5,0.179,4,1,2018,2021,0,0,0,0
Noah Gregor,31,3,2,5,0.161,10,1,2019,2021,0,0,0,0
Zack Mitchell,34,3,2,5,0.147,4,1,2016,2018,0,0,0,0
Dylan McIlrath,66,3,2,5,0.076,121,2,2013,2020,0,0,0,0
Gavin Bayreuther,19,2,3,5,0.263,10,2,2018,2019,0,0,0,0
Josh Currie,21,2,3,5,0.238,2,1,2018,2019,0,0,0,0
Barrett Hayton,24,2,3,5,0.208,14,1,2019,2021,0,0,0,0
Jakub Nakladal,30,2,3,5,0.16699999999999998,6,2,2015,2017,0,0,0,0
Sam Carrick,34,2,3,5,0.147,15,1,2014,2020,0,0,0,0
Mikhail Vorobyov,35,2,3,5,0.14300000000000002,8,1,2018,2020,0,0,0,0
Jakob Lilja,37,2,3,5,0.135,2,1,2019,2020,0,0,0,0
John Gilmour,37,2,3,5,0.135,18,2,2017,2020,0,0,0,0
Kurtis Gabriel,38,2,3,5,0.132,98,1,2015,2019,0,0,0,0
Kyle Rau,42,2,3,5,0.119,6,1,2015,2021,0,0,0,0
John Quenneville,42,2,3,5,0.119,6,1,2016,2020,0,0,0,0
Cody Bass,75,2,3,5,0.067,107,1,2007,2017,0,0,0,0
Kirill Kaprizov,5,1,4,5,1.0,2,1,2020,2021,0,0,0,0
Ville Heinola,9,1,4,5,0.556,4,2,2019,2021,0,0,0,0
Calle Rosen,20,1,4,5,0.25,8,2,2017,2020,0,0,0,0
Danny O'Regan,25,1,4,5,0.2,2,1,2016,2019,0,0,0,0
Jaycob Megna,43,1,4,5,0.116,14,2,2016,2019,0,0,0,0
Joe Hicketts,22,0,5,5,0.227,4,2,2017,2020,0,0,0,0
Tyler Wotherspoon,30,0,5,5,0.16699999999999998,4,2,2013,2017,0,0,0,0
Riley Stillman,36,0,5,5,0.139,18,2,2018,2021,0,0,0,0
Michael McLeod,37,0,5,5,0.135,19,1,2018,2021,0,0,0,0
Jordan Schmaltz,42,0,5,5,0.119,12,2,2016,2019,0,0,0,0
Patrick Russell,51,0,5,5,0.098,14,1,2018,2021,0,0,0,0
Anton Lindholm,66,0,5,5,0.076,16,2,2016,2020,0,0,0,0
Nathan Bastian,11,4,0,4,0.364,12,1,2018,2021,0,0,0,0
Jesper Boqvist,39,4,0,4,0.103,10,1,2019,2021,0,0,0,0
Morgan Geekie,4,3,1,4,1.0,2,1,2019,2021,0,0,0,0
Maxim Mamin,33,3,1,4,0.121,12,1,2017,2019,0,0,0,0
Laurent Dauphin,35,3,1,4,0.114,18,1,2015,2019,0,0,0,0
Aleksi Saarela,9,2,2,4,0.444,0,1,2018,2020,0,0,0,0
Hunter Shinkaruk,15,2,2,4,0.267,4,1,2015,2017,0,0,0,0
Max Veronneau,16,2,2,4,0.25,0,1,2018,2020,0,0,0,0
Nathan Walker,17,2,2,4,0.235,12,1,2017,2020,0,0,0,0
Yevgeni Svechnikov,20,2,2,4,0.2,10,1,2016,2020,0,0,0,0
Ty Smith,4,1,3,4,1.0,4,2,2020,2021,0,0,0,0
Adam Brooks,8,1,3,4,0.5,0,1,2019,2021,0,0,0,0
Adam Johnson,13,1,3,4,0.308,2,1,2018,2020,0,0,0,0
Tyler Gaudet,20,1,3,4,0.2,0,1,2014,2017,0,0,0,0
Dakota Mermis,20,1,3,4,0.2,4,2,2017,2021,0,0,0,0
Clark Bishop,25,1,3,4,0.16,10,1,2018,2020,0,0,0,0
Blake Pietila,38,1,3,4,0.105,12,1,2015,2019,0,0,0,0
Chris Bigras,46,1,3,4,0.087,18,2,2015,2018,0,0,0,0
Seth Helgeson,50,1,3,4,0.08,50,2,2014,2017,0,0,0,0
Alexander True,12,0,4,4,0.333,2,1,2019,2020,0,0,0,0
Joel Vermin,24,0,4,4,0.16699999999999998,4,1,2015,2017,0,0,0,0
Erik Brannstrom,33,0,4,4,0.121,16,2,2018,2020,0,0,0,0
Joel L'Esperance,21,3,0,3,0.14300000000000002,8,1,2018,2020,0,0,0,0
Martin Kaut,10,2,1,3,0.3,4,1,2019,2021,0,0,0,0
Kieffer Bellows,12,2,1,3,0.25,2,1,2019,2021,0,0,0,0
Joel Kiviranta,12,2,1,3,0.25,4,1,2019,2021,0,0,0,0
Buddy Robinson,12,2,1,3,0.25,13,1,2015,2021,0,0,0,0
C.J. Smith,13,2,1,3,0.231,0,1,2016,2019,0,0,0,0
Shane Harper,14,2,1,3,0.214,18,1,2016,2017,0,0,0,0
Kalle Kossila,19,2,1,3,0.158,4,1,2016,2019,0,0,0,0
Givani Smith,21,2,1,3,0.14300000000000002,9,1,2019,2021,0,0,0,0
Patrick Brown,29,2,1,3,0.103,8,1,2014,2020,0,0,0,0
Jeremy Lauzon,39,2,1,3,0.077,31,2,2018,2021,0,0,0,0
Petteri Lindbohm,40,2,1,3,0.075,37,2,2014,2017,0,0,0,0
Connor Clifton,50,2,1,3,0.06,27,2,2018,2021,0,0,0,0
Zach Senyshyn,6,1,2,3,0.5,0,1,2018,2020,0,0,0,0
Josh Norris,7,1,2,3,0.429,0,1,2019,2021,0,0,0,0
Trevor Murphy,8,1,2,3,0.375,0,2,2017,2018,0,0,0,0
Eetu Luostarinen,10,1,2,3,0.3,0,1,2019,2021,0,0,0,0
Andrei Mironov,10,1,2,3,0.3,12,2,2017,2018,0,0,0,0
Andrew Peeke,22,1,2,3,0.136,4,2,2019,2021,0,0,0,0
Hudson Fasching,22,1,2,3,0.136,8,1,2015,2021,0,0,0,0
Dennis Gilbert,23,1,2,3,0.13,40,2,2018,2021,0,0,0,0
Juuso Valimaki,27,1,2,3,0.111,14,2,2018,2021,0,0,0,0
Rasmus Asplund,30,1,2,3,0.1,6,1,2019,2021,0,0,0,0
Roland McKeown,10,0,3,3,0.3,19,2,2017,2018,0,0,0,0
Jacob Middleton,14,0,3,3,0.214,13,2,2018,2021,0,0,0,0
Joseph Gambardella,15,0,3,3,0.2,2,1,2018,2019,0,0,0,0
Julien Gauthier,20,0,3,3,0.15,8,1,2019,2021,0,0,0,0
Ashton Sautner,23,0,3,3,0.13,4,2,2017,2020,0,0,0,0
Gabriel Carlsson,23,0,3,3,0.13,8,2,2016,2021,0,0,0,0
Karl Stollery,23,0,3,3,0.13,21,2,2013,2017,0,0,0,0
Marek Hrivik,24,0,3,3,0.125,2,1,2015,2018,0,0,0,0
Rob O'Gara,33,0,3,3,0.091,6,2,2016,2018,0,0,0,0
Andreas Englund,33,0,3,3,0.091,24,2,2016,2020,0,0,0,0
Patrick Sieloff,2,2,0,2,1.0,2,2,2015,2018,0,0,0,0
Spencer Foo,4,2,0,2,0.5,0,1,2017,2018,0,0,0,0
Gerry Mayhew,13,2,0,2,0.154,2,1,2019,2020,0,0,0,0
Logan O'Connor,21,2,0,2,0.095,2,1,2018,2020,0,0,0,0
Yegor Sharangovich,4,1,1,2,0.5,0,1,2020,2021,0,0,0,0
Dylan Cozens,5,1,1,2,0.4,0,1,2020,2021,0,0,0,0
Jack Studnicka,5,1,1,2,0.4,2,1,2019,2021,0,0,0,0
Alexander Romanov,5,1,1,2,0.4,2,2,2020,2021,0,0,0,0
Nick Merkley,5,1,1,2,0.4,4,1,2017,2021,0,0,0,0
Nils Hoglander,6,1,1,2,0.333,4,1,2020,2021,0,0,0,0
Eeli Tolvanen,7,1,1,2,0.28600000000000003,0,1,2017,2021,0,0,0,0
Tyler Lewington,8,1,1,2,0.25,24,2,2018,2020,0,0,0,0
Mikey Anderson,10,1,1,2,0.2,2,2,2019,2021,0,0,0,0
Cole Bardreau,10,1,1,2,0.2,6,1,2019,2020,0,0,0,0
Nick Caamano,13,1,1,2,0.154,4,1,2019,2021,0,0,0,0
Wade Megan,15,1,1,2,0.133,2,1,2016,2019,0,0,0,0
Borna Rendulic,15,1,1,2,0.133,6,1,2014,2017,0,0,0,0
Liam O'Brien,17,1,1,2,0.118,28,1,2014,2018,0,0,0,0
Duncan Siemens,20,1,1,2,0.1,25,2,2014,2018,0,0,0,0
Connor Bunnaman,22,1,1,2,0.091,2,1,2019,2021,0,0,0,0
Anton Blidh,28,1,1,2,0.071,7,1,2016,2020,0,0,0,0
Louie Belpedio,3,0,2,2,0.667,0,2,2017,2021,0,0,0,0
Sergei Tolchinsky,4,0,2,2,0.5,0,1,2015,2017,0,0,0,0
Daniel Brickley,5,0,2,2,0.4,0,2,2017,2019,0,0,0,0
John Leonard,5,0,2,2,0.4,0,1,2020,2021,0,0,0,0
Mike Zalewski,6,0,2,2,0.333,2,1,2013,2017,0,0,0,0
Liam Foudy,7,0,2,2,0.28600000000000003,0,1,2019,2021,0,0,0,0
Dillon Heatherington,11,0,2,2,0.182,26,2,2017,2019,0,0,0,0
Nico Sturm,12,0,2,2,0.16699999999999998,0,1,2018,2021,0,0,0,0
Joel Persson,13,0,2,2,0.154,2,2,2019,2020,0,0,0,0
Danick Martel,13,0,2,2,0.154,8,1,2017,2019,0,0,0,0
Kevin Czuczman,13,0,2,2,0.154,14,2,2013,2021,0,0,0,0
Zach Whitecloud,22,0,2,2,0.091,4,2,2017,2021,0,0,0,0
Julian Melchiori,30,0,2,2,0.067,8,2,2013,2017,0,0,0,0
Griffin Reinhart,37,0,2,2,0.054000000000000006,26,2,2014,2017,0,0,0,0
Petter Granberg,45,0,2,2,0.044,29,2,2013,2017,0,0,0,0
Yegor Korshkov,1,1,0,1,1.0,0,1,2019,2020,0,0,0,0
Samuel Henley,1,1,0,1,1.0,2,1,2016,2017,0,0,0,0
Jacob MacDonald,2,1,0,1,0.5,0,2,2018,2019,0,0,0,0
Tim Stutzle,2,1,0,1,0.5,2,1,2020,2021,0,0,0,0
Maxim Letunov,3,1,0,1,0.333,0,1,2019,2020,0,0,0,0
Vadim Shipachyov,3,1,0,1,0.333,2,1,2017,2018,0,0,0,0
Vitali Abramov,3,1,0,1,0.333,2,1,2018,2020,0,0,0,0
Blake Hillman,4,1,0,1,0.25,0,2,2017,2018,0,0,0,0
Philipp Kurashev,4,1,0,1,0.25,0,1,2020,2021,0,0,0,0
Klim Kostin,4,1,0,1,0.25,0,1,2019,2020,0,0,0,0
Michael Bunting,5,1,0,1,0.2,2,1,2018,2019,0,0,0,0
David Kase,6,1,0,1,0.16699999999999998,0,1,2019,2020,0,0,0,0
Lukas Vejdemo,7,1,0,1,0.14300000000000002,0,1,2019,2020,0,0,0,0
Evan Bouchard,7,1,0,1,0.14300000000000002,2,2,2018,2019,0,0,0,0
Anthony Angello,8,1,0,1,0.125,4,1,2019,2020,0,0,0,0
Owen Tippett,9,1,0,1,0.111,0,1,2017,2021,0,0,0,0
Jani Hakanpaa,10,1,0,1,0.1,6,2,2019,2021,0,0,0,0
Alex Formenton,10,1,0,1,0.1,6,1,2017,2019,0,0,0,0
Casey Bailey,13,1,0,1,0.077,2,1,2014,2017,0,0,0,0
Rourke Chartier,13,1,0,1,0.077,2,1,2018,2019,0,0,0,0
Kyle Capobianco,14,1,0,1,0.071,4,2,2017,2021,0,0,0,0
Carsen Twarynski,15,1,0,1,0.067,4,1,2019,2021,0,0,0,0
David Gustafsson,22,1,0,1,0.045,0,1,2019,2021,0,0,0,0
Cale Fleury,41,1,0,1,0.024,6,2,2019,2021,0,0,0,0
Jimmy Schuldt,1,0,1,1,1.0,0,2,2018,2019,0,0,0,0
Pierre-Olivier Joseph,1,0,1,1,1.0,0,2,2020,2021,0,0,0,0
Matt Lorito,2,0,1,1,0.5,0,1,2016,2017,0,0,0,0
Jordan Gross,2,0,1,1,0.5,0,2,2019,2021,0,0,0,0
Bowen Byram,2,0,1,1,0.5,2,2,2020,2021,0,0,0,0
Anton Rodin,3,0,1,1,0.333,0,1,2016,2017,0,0,0,0
Tommy Cross,3,0,1,1,0.333,0,2,2015,2017,0,0,0,0
Shane Gersich,3,0,1,1,0.333,0,1,2017,2018,0,0,0,0
Gage Quinney,3,0,1,1,0.333,0,1,2019,2021,0,0,0,0
Brogan Rafferty,3,0,1,1,0.333,0,2,2018,2021,0,0,0,0
Jason Robertson,4,0,1,1,0.25,0,1,2019,2021,0,0,0,0
Mason Marchment,4,0,1,1,0.25,0,1,2019,2021,0,0,0,0
Ben Gleason,4,0,1,1,0.25,0,2,2018,2019,0,0,0,0
K'Andre Miller,4,0,1,1,0.25,0,2,2020,2021,0,0,0,0
Henrik Haapala,5,0,1,1,0.2,0,1,2017,2018,0,0,0,0
Pius Suter,5,0,1,1,0.2,0,1,2020,2021,0,0,0,0
Ian Mitchell,5,0,1,1,0.2,0,2,2020,2021,0,0,0,0
Kristian Vesalainen,5,0,1,1,0.2,0,1,2018,2021,0,0,0,0
Nick Sorensen,5,0,1,1,0.2,2,1,2016,2017,0,0,0,0
Victor Ejdsell,6,0,1,1,0.16699999999999998,0,1,2017,2018,0,0,0,0
Cole Schneider,6,0,1,1,0.16699999999999998,0,1,2015,2017,0,0,0,0
Niko Mikkola,6,0,1,1,0.16699999999999998,0,2,2019,2021,0,0,0,0
Jonathan Davidsson,6,0,1,1,0.16699999999999998,0,1,2019,2020,0,0,0,0
Keegan Kolesar,6,0,1,1,0.16699999999999998,0,1,2019,2021,0,0,0,0
Lucas Carlsson,6,0,1,1,0.16699999999999998,0,2,2019,2021,0,0,0,0
Tim Gettinger,6,0,1,1,0.16699999999999998,0,1,2018,2020,0,0,0,0
Martin Fehervary,6,0,1,1,0.16699999999999998,6,2,2019,2021,0,0,0,0
Tyler Benson,7,0,1,1,0.14300000000000002,0,1,2019,2020,0,0,0,0
Erik Burgdoerfer,8,0,1,1,0.125,2,2,2016,2019,0,0,0,0
Mark Friedman,8,0,1,1,0.125,2,2,2018,2021,0,0,0,0
Mike Liambas,8,0,1,1,0.125,21,1,2016,2018,0,0,0,0
Jaret Anderson-Dolan,9,0,1,1,0.111,0,1,2018,2021,0,0,0,0
Christoph Bertschy,9,0,1,1,0.111,8,1,2015,2018,0,0,0,0
Ryan MacInnis,10,0,1,1,0.1,0,1,2019,2021,0,0,0,0
Cameron Schilling,10,0,1,1,0.1,4,2,2012,2019,0,0,0,0
Alexander Volkov,10,0,1,1,0.1,6,1,2019,2021,0,1,0,0
Timothy Liljegren,11,0,1,1,0.091,2,2,2019,2020,0,0,0,0
Mathieu Olivier,11,0,1,1,0.091,6,1,2019,2021,0,0,0,0
Lean Bergmann,12,0,1,1,0.083,4,1,2019,2020,0,0,0,0
Ryan Lomberg,12,0,1,1,0.083,32,1,2017,2021,0,0,0,0
Gustav Lindstrom,16,0,1,1,0.063,14,2,2019,2021,0,0,0,0
Luke Johnson,18,0,1,1,0.056,8,1,2018,2020,0,0,0,0
T.J. Tynan,19,0,1,1,0.053,2,1,2016,2020,0,0,0,0
Brett Lernout,21,0,1,1,0.048,6,2,2015,2018,0,0,0,0
J.C. Beaudin,22,0,1,1,0.045,7,1,2019,2020,0,0,0,0
Alex Belzile,0,0,0,0,0.0,0,1,2019,2020,0,0,0,0
Thomas Harley,0,0,0,0,0.0,0,2,2019,2021,0,0,0,0
Philip Holm,1,0,0,0,0.0,0,2,2017,2018,0,0,0,0
Will O'Neill,1,0,0,0,0.0,0,2,2017,2018,0,0,0,0
Garrett Mitchell,1,0,0,0,0.0,0,1,2016,2017,0,0,0,0
Fredrik Handemark,1,0,0,0,0.0,0,1,2020,2021,0,0,0,0
Curtis Valk,1,0,0,0,0.0,0,1,2017,2018,0,0,0,0
Cameron Hughes,1,0,0,0,0.0,0,1,2019,2020,0,0,0,0
Morgan Klimchuk,1,0,0,0,0.0,0,1,2017,2018,0,0,0,0
Evan McEneny,1,0,0,0,0.0,0,2,2016,2017,0,0,0,0
Dan Renouf,1,0,0,0,0.0,0,2,2016,2017,0,0,0,0
Anthony Greco,1,0,0,0,0.0,0,1,2018,2019,0,0,0,0
Sean Malone,1,0,0,0,0.0,0,1,2016,2017,0,0,0,0
Brian Pinho,1,0,0,0,0.0,0,1,2019,2021,0,0,0,0
Giovanni Fiore,1,0,0,0,0.0,0,1,2017,2018,0,0,0,0
Mitch Reinke,1,0,0,0,0.0,0,2,2017,2018,0,0,0,0
C.J. Suess,1,0,0,0,0.0,0,1,2019,2021,0,0,0,0
Brandon Gignac,1,0,0,0,0.0,0,1,2018,2019,0,0,0,0
Nicolas Meloche,1,0,0,0,0.0,0,2,2020,2021,0,0,0,0
Brady Keeper,1,0,0,0,0.0,0,2,2018,2021,0,0,0,0
Austin Poganski,1,0,0,0,0.0,0,1,2019,2021,0,0,0,0
Cole Smith,1,0,0,0,0.0,0,1,2020,2021,0,0,0,0
Cal Foote,1,0,0,0,0.0,0,2,2020,2021,0,0,0,0
Jake Walman,1,0,0,0,0.0,0,2,2019,2021,0,0,0,0
Nicolas Beaudin,1,0,0,0,0.0,0,2,2019,2021,0,0,0,0
Victor Soderstrom,1,0,0,0,0.0,0,2,2020,2021,0,0,0,0
Nicholas Robertson,1,0,0,0,0.0,0,1,2019,2021,0,0,0,0
Dalton Smith,1,0,0,0,0.0,2,1,2019,2020,0,0,0,0
Josh Teves,1,0,0,0,0.0,2,2,2018,2019,0,0,0,0
Rem Pitlick,1,0,0,0,0.0,2,1,2018,2019,0,0,0,0
Ty Dellandrea,1,0,0,0,0.0,2,1,2020,2021,0,0,0,0
Spencer Abbott,2,0,0,0,0.0,0,1,2013,2017,0,0,0,0
Mark McNeill,2,0,0,0,0.0,0,1,2015,2017,0,0,0,0
Jacob Nilsson,2,0,0,0,0.0,0,1,2018,2019,0,0,0,0
Ben Sexton,2,0,0,0,0.0,0,1,2017,2018,0,0,0,0
Mike Vecchione,2,0,0,0,0.0,0,1,2016,2017,0,0,0,0
Andrew Poturalski,2,0,0,0,0.0,0,1,2016,2017,0,0,0,0
Justin Auger,2,0,0,0,0.0,0,1,2017,2018,0,0,0,0
Anthony Richard,2,0,0,0,0.0,0,1,2018,2020,0,0,0,0
Andrei Chibisov,2,0,0,0,0.0,0,1,2019,2020,0,0,0,0
Jalen Chatfield,2,0,0,0,0.0,0,2,2020,2021,0,0,0,0
Andrew Crescenzi,2,0,0,0,0.0,2,1,2017,2018,0,0,0,0
Alex Broadhurst,2,0,0,0,0.0,2,1,2017,2018,0,0,0,0
Justin Kloos,2,0,0,0,0.0,2,1,2017,2019,0,0,0,0
Jake Bean,2,0,0,0,0.0,2,2,2018,2021,0,0,0,0
Thomas Di Pauli,2,0,0,0,0.0,10,1,2019,2020,0,0,0,0
Pat Cannone,3,0,0,0,0.0,0,1,2016,2017,0,0,0,0
Alexander Barabanov,3,0,0,0,0.0,0,1,2020,2021,0,0,0,0
Nic Kerdiles,3,0,0,0,0.0,0,1,2016,2018,0,0,0,0
Brandon Hagel,3,0,0,0,0.0,0,1,2019,2021,0,0,0,0
Calvin Thurkauf,3,0,0,0,0.0,0,1,2019,2020,0,0,0,0
Blake Speers,3,0,0,0,0.0,0,1,2016,2017,0,0,0,0
Beck Malenstyn,3,0,0,0,0.0,0,1,2019,2020,0,0,0,0
Tobias Bjornfot,3,0,0,0,0.0,0,2,2019,2020,0,0,0,0
Tanner Richard,3,0,0,0,0.0,2,1,2016,2017,0,0,0,0
Dillon Simpson,3,0,0,0,0.0,2,2,2016,2017,0,0,0,0
Josh Jacobs,3,0,0,0,0.0,2,2,2018,2020,0,0,0,0
Joachim Blichfeld,3,0,0,0,0.0,2,1,2019,2020,0,0,0,0
Logan Stanley,3,0,0,0,0.0,2,2,2020,2021,0,0,0,0
Ben Thomson,3,0,0,0,0.0,4,1,2016,2017,0,0,0,0
Chase De Leo,4,0,0,0,0.0,0,1,2015,2020,0,0,0,0
William Borgen,4,0,0,0,0.0,0,2,2018,2021,0,0,0,0
Alexander Yelesin,4,0,0,0,0.0,0,2,2019,2020,0,0,0,0
Danil Yurtaikin,4,0,0,0,0.0,0,1,2019,2020,0,0,0,0
German Rubtsov,4,0,0,0,0.0,0,1,2019,2020,0,0,0,0
Connor Jones,4,0,0,0,0.0,2,1,2016,2017,0,0,0,0
Alexis Lafreniere,4,0,0,0,0.0,2,1,2020,2021,0,0,0,0
Anton Wedin,4,0,0,0,0.0,4,1,2019,2020,0,0,0,0
Jake Bischoff,4,0,0,0,0.0,4,2,2019,2020,0,0,0,0
Keegan Lowe,4,0,0,0,0.0,10,2,2014,2018,0,0,0,0
Mitch Callahan,5,0,0,0,0.0,0,1,2013,2017,0,0,0,0
Michael Kapla,5,0,0,0,0.0,0,2,2016,2017,0,0,0,0
Otto Leskinen,5,0,0,0,0.0,0,2,2019,2020,0,0,0,0
Olli Juolevi,5,0,0,0,0.0,0,2,2019,2021,0,0,0,0
Griffen Molino,5,0,0,0,0.0,0,1,2016,2017,0,0,0,0
Jake Chelios,5,0,0,0,0.0,2,2,2018,2019,0,0,0,0
Mathias Brome,5,0,0,0,0.0,2,1,2020,2021,0,0,0,0
Alexandre Carrier,5,0,0,0,0.0,2,2,2016,2020,0,0,0,0
Kole Sherwood,5,0,0,0,0.0,2,1,2018,2020,0,0,0,0
Brennan Menell,5,0,0,0,0.0,2,2,2019,2020,0,0,0,0
Brady Austin,5,0,0,0,0.0,4,2,2016,2017,0,0,0,0
Jakub Zboril,6,0,0,0,0.0,0,2,2018,2021,0,0,0,0
Cooper Marody,6,0,0,0,0.0,0,1,2018,2019,0,0,0,0
Conor Timmins,6,0,0,0,0.0,0,2,2019,2021,0,0,0,0
Kale Clague,6,0,0,0,0.0,6,2,2019,2021,0,0,0,0
Libor Sulak,6,0,0,0,0.0,6,2,2018,2019,0,0,0,0
Sheldon Rempal,7,0,0,0,0.0,0,1,2018,2019,0,0,0,0
Urho Vaakanainen,7,0,0,0,0.0,0,2,2018,2021,0,0,0,0
Trevor Carrick,7,0,0,0,0.0,12,2,2015,2020,0,0,0,0
Chase Balisy,8,0,0,0,0.0,0,1,2017,2018,0,0,0,0
Guillaume Brisebois,8,0,0,0,0.0,0,2,2018,2019,0,0,0,0
Rhett Gardner,8,0,0,0,0.0,2,1,2019,2021,0,0,0,0
Nikolai Knyzhov,8,0,0,0,0.0,2,2,2019,2021,0,0,0,0
William Lagesson,9,0,0,0,0.0,0,2,2019,2021,0,0,0,0
Alexandre Grenier,9,0,0,0,0.0,2,1,2015,2017,0,0,0,0
Dominic Turgeon,9,0,0,0,0.0,2,1,2017,2019,0,0,0,0
Kyle Criscuolo,9,0,0,0,0.0,4,1,2017,2018,0,0,0,0
Oliver Wahlstrom,9,0,0,0,0.0,4,1,2019,2020,0,0,0,0
Colton White,9,0,0,0,0.0,6,2,2018,2020,0,0,0,0
Samuel Morin,9,0,0,0,0.0,8,2,2016,2021,0,0,0,0
Ryan Kuffner,10,0,0,0,0.0,0,1,2018,2019,0,0,0,0
Jack Rodewald,10,0,0,0,0.0,2,1,2017,2019,0,0,0,0
Ryan Johnston,10,0,0,0,0.0,4,2,2015,2017,0,0,0,0
Tyrell Goulbourne,11,0,0,0,0.0,2,1,2017,2019,0,0,0,0
Nelson Nogier,11,0,0,0,0.0,5,2,2016,2021,0,0,0,0
Daniel Catenacci,12,0,0,0,0.0,0,1,2015,2018,0,0,0,0
Riley Barber,12,0,0,0,0.0,2,1,2016,2020,0,0,0,0
Rinat Valiyev,12,0,0,0,0.0,2,2,2015,2018,0,0,0,0
Otto Koivula,12,0,0,0,0.0,2,1,2019,2020,0,0,0,0
Joseph LaBate,13,0,0,0,0.0,21,1,2016,2017,0,0,0,0
Joona Luoto,16,0,0,0,0.0,2,1,2019,2020,0,0,0,0
Janne Kuokkanen,16,0,0,0,0.0,6,1,2017,2021,0,0,0,0
Steven Fogarty,18,0,0,0,0.0,2,1,2017,2020,0,0,0,0
Robbie Russo,19,0,0,0,0.0,2,2,2016,2017,0,0,0,0
Mark Alt,19,0,0,0,0.0,4,2,2014,2021,0,0,0,0
Trent Frederic,21,0,0,0,0.0,15,1,2018,2021,0,0,0,0
Marc Michaelis,0,0,0,0,0.0,0,1,2020,2021,0,0,0,0
Brinson Pasichnuk,0,0,0,0,0.0,0,2,2020,2021,0,0,0,0
Bokondji Imama,0,0,0,0,0.0,0,1,2020,2021,0,0,0,0
Artyom Zub,0,0,0,0,0.0,0,2,2020,2021,0,0,0,0
Wyatt Kalynuk,0,0,0,0,0.0,0,2,2020,2021,0,0,0,0
Alexander Chmelevski,0,0,0,0,0.0,0,1,2020,2021,0,0,0,0
Dylan Samberg,0,0,0,0,0.0,0,2,2020,2021,0,0,0,0
Steven Lorentz,0,0,0,0,0.0,0,1,2020,2021,0,0,0,0
Jeffrey Viel,0,0,0,0,0.0,0,1,2020,2021,0,0,0,0
Nolan Foote,0,0,0,0,0.0,0,1,2020,2021,0,0,0,0
Dylan Coghlan,0,0,0,0,0.0,0,2,2020,2021,0,0,0,0
Kevin Bahl,0,0,0,0,0.0,0,2,2020,2021,0,0,0,0
Reese Johnson,0,0,0,0,0.0,0,1,2020,2021,0,0,0,0
Aleksi Heponiemi,0,0,0,0,0.0,0,1,2020,2021,0,0,0,0
Samuel Fagemo,0,0,0,0,0.0,0,1,2020,2021,0,0,0,0
Marco Rossi,0,0,0,0,0.0,0,1,2020,2021,0,0,0,0
Jack Rathbone,0,0,0,0,0.0,0,2,2020,2021,0,0,0,0
Mikhail Maltsev,0,0,0,0,0.0,0,1,2020,2021,0,0,0,0
Connor Mackey,0,0,0,0,0.0,0,2,2020,2021,0,0,0,0
Jack Quinn,0,0,0,0,0.0,0,1,2020,2021,0,0,0,0
Jonathan Aspirot,0,0,0,0,0.0,0,2,2020,2021,0,0,0,0
Drew O'Connor,0,0,0,0,0.0,0,1,2020,2021,0,0,0,0
Jake Neighbours,0,0,0,0,0.0,0,1,2020,2021,0,0,0,0
Philip Tomasino,0,0,0,0,0.0,0,1,2020,2021,0,0,0,0
Connor McMichael,0,0,0,0,0.0,0,1,2020,2021,0,0,0,0
