Player,GP,G,A,TP,PPG,PIM,POS,firstYear,lastYear,Awards,Cups,All-Star Games,HoF,shap_GP,shap_G,shap_A,shap_TP,shap_PPG,shap_PIM,shap_POS,shap_Awards,shap_Cups,shap_All-Star Games,BaseValue,FinalValue,HoF_Probability
Mike Modano,1499,561,813,1374,0.917,926,1,1988,2011,0,1,7,1,0.1413094,3.0458171,3.2563457,1.4132051,1.1470792,1.4079149,-0.63745046,-0.30846474,-0.94956845,4.2884207,-4.187,8.476299560546874,0.9997916951418471
Johnny Bucyk,1540,556,813,1369,0.889,497,1,1955,1978,0,2,7,1,-0.1823477,2.6120257,3.5917842,1.2797983,1.0070443,-0.9393833,-0.65337014,-0.30846474,-0.10689271,3.921498,-4.187,6.21703938293457,0.9980088293335567
Brendan Shanahan,1524,656,698,1354,0.888,2489,1,1987,2009,0,3,8,1,0.29526925,3.135451,2.9992373,1.5117335,0.9702645,-1.3147454,-0.5498706,-0.30846474,3.2119093,4.125192,-4.187,9.59370831298828,0.9999318484371017
Guy Lafleur,1126,560,793,1353,1.202,399,1,1971,1991,9,5,6,1,-1.608795,2.8204656,3.2584982,1.1502309,1.3652383,-1.3731306,-0.53911036,1.3965603,3.7121947,2.5427291,-4.187,10.1466763381958,0.9999607953636372
Mats Sundin,1346,564,785,1349,1.002,1093,1,1990,2009,0,0,8,1,-0.9686893,3.0348508,3.3017447,1.3626969,2.6427698,1.5875744,-0.63745046,-0.30846474,-1.1105771,4.0452056,-4.187,9.731350219726561,0.9999406114796284
Dave Andreychuk,1639,640,698,1338,0.816,1121,1,1982,2006,0,1,2,1,-0.12890206,3.4493463,2.864798,1.8329986,-0.12927297,1.1585692,-0.74483997,-0.11947112,-1.0876024,-0.046276785,-4.187,2.9912479286193845,0.9521771676658458
Denis Savard,1196,473,865,1338,1.119,1336,1,1980,1997,0,1,7,1,-0.9235548,0.06524277,3.2543924,1.2958369,1.7908642,1.0007764,-0.6586268,-0.30846474,-0.94956845,4.0394826,-4.187,5.342935836791992,0.9952409454371299
Mike Gartner,1432,708,627,1335,0.932,1159,1,1979,1998,0,0,7,1,0.13717063,3.029062,2.6285636,1.4085999,1.1983271,1.4577065,-0.6571323,-0.30846474,-1.1105771,4.527925,-4.187,7.987010276794433,0.9996602668385254
Pierre Turgeon,1294,515,812,1327,1.026,452,1,1987,2007,0,0,4,0,-1.9014525,2.5067248,3.201068,1.4648676,0.4829756,-2.0243478,-0.65337014,-0.19277467,-1.315497,0.55695766,-4.187,-0.16039630126953153,0.4599866730719263
Gilbert Perreault,1191,512,814,1326,1.113,500,1,1970,1987,1,0,6,1,-1.5737667,2.5522532,3.2384684,0.8807211,1.7159989,-1.1259145,-0.65337014,0.6693932,-1.3073653,2.4129894,-4.187,4.196173942565918,0.9851701736192826
Jarome Iginla,1554,625,675,1300,0.8370000000000001,1040,1,1995,2017,4,0,6,1,-0.11948599,2.9960487,2.7117274,1.1250176,-0.06916063,1.4356182,-0.7518894,1.3965603,-1.237442,3.5615535,-4.187,6.981033599853515,0.9990715207361908
Alexander Ovechkin,1156,707,576,1283,1.11,719,1,2005,2021,18,1,7,0,-0.7548933,2.6274974,1.8440173,0.9789125,1.6640334,1.4512485,-0.6635979,1.3965603,-1.0693604,4.703658,-4.187,8.745969093322753,0.999840923952198
Alex Delvecchio,1550,456,825,1281,0.826,383,1,1950,1974,0,3,13,1,-0.1481855,0.40536332,3.603277,1.4535384,-0.04310856,-1.0196949,-0.6550438,-0.30846474,3.4502647,3.7777936,-4.187,6.476925170898437,0.9984638293078216
Al MacInnis,1416,340,934,1274,0.9,1511,2,1981,2004,2,1,12,1,0.24292882,-0.05178468,3.282853,1.2698135,0.93312097,-0.8037276,1.6429436,1.3965603,-0.8781304,5.3474607,-4.187,7.95210961151123,0.9996482048347226
Sidney Crosby,989,465,803,1268,1.2819999999999998,677,1,2005,2021,11,3,4,0,1.3222471,0.5184439,2.9310775,1.4863151,2.142575,1.4713155,-0.55783063,1.2983991,3.6513531,1.0714092,-4.187,9.826056755065917,0.9999459775457822
Jean Ratelle,1281,491,776,1267,0.9890000000000001,276,1,1960,1981,1,0,5,1,-1.6869454,2.5760431,3.2375429,1.1390483,2.8244078,-1.9677556,-0.64637214,0.5712319,-1.2665474,1.3142444,-4.187,3.5948431854248044,0.9732691721634728
Peter Stastny,977,450,789,1239,1.268,824,1,1980,1995,1,0,6,1,1.2461897,-0.014754456,3.111492,1.0565997,2.0704901,1.3932927,-0.6646936,0.6693932,-1.2987115,2.9782312,-4.187,5.114339149475097,0.9940259554982066
Phil Housley,1495,338,894,1232,0.8240000000000001,822,2,1982,2003,0,0,7,1,0.23174395,0.09388663,3.5481277,1.552561,0.010925725,1.3028681,1.7951534,-0.30846474,-1.1326733,4.9607496,-4.187,7.636135375976562,0.9995175426089492
Norm Ullman,1410,490,739,1229,0.872,712,1,1955,1975,0,0,11,1,0.20802678,2.780038,2.9354258,1.3799939,-0.099830784,1.3070434,-0.7678091,-0.30846474,-1.2626334,4.57071,-4.187,6.347473419189453,0.9982518952076697
Jean Beliveau,1125,507,712,1219,1.084,1029,1,1950,1971,4,10,13,1,-1.1192881,3.1721842,2.441455,1.3365667,1.4129634,1.2937897,-0.5404165,1.3965603,3.5284545,4.073388,-4.187,13.927944458007811,0.9999991063443828
Jeremy Roenick,1363,513,703,1216,0.892,1463,1,1988,2009,0,0,9,0,-0.911265,2.8910625,2.9535835,1.3768685,1.1731086,-0.87760675,-0.6571323,-0.30846474,-1.1428417,4.4313955,-4.187,5.652973449707031,0.9965051834271879
Larry Murphy,1615,287,929,1216,0.753,1084,2,1980,2001,0,4,3,1,0.07143757,-0.9288325,3.411472,2.1268663,-0.5935498,0.75185776,1.6453044,-0.14068782,3.2454338,-0.09572262,-4.187,5.2351420288085935,0.9947021487409177
Bobby Clarke,1144,358,852,1210,1.058,1453,1,1969,1984,4,2,8,1,-1.4124326,0.083814435,2.9877331,0.8945166,0.7727615,-1.1005795,-0.68717676,1.3965603,-0.29248053,4.7912545,-4.187,4.659403121948242,0.9906167646666733
Bernie Nicholls,1127,475,734,1209,1.073,1292,1,1981,1999,0,0,3,0,-1.6603026,0.49630406,2.5976722,1.3765961,1.1793542,0.621534,-0.6688546,-0.11947112,-1.2163461,-0.45839587,-4.187,-0.378607475280762,0.40646280095107945
Vincent Damphousse,1378,432,783,1205,0.8740000000000001,1190,1,1986,2004,0,1,3,0,-1.2764095,-0.86844426,2.8893957,1.4307951,-0.26565576,1.007884,-0.791388,-0.11947112,-1.0876024,-0.38266057,-4.187,-2.374147617340088,0.08516543260640344
Dino Ciccarelli,1232,608,592,1200,0.9740000000000001,1425,1,1980,1999,0,0,4,1,-1.1880859,3.0956748,1.9820997,1.3771434,2.9876626,-0.043032754,-0.6571323,-0.19277467,-1.2133092,0.9254455,-4.187,4.0747769241333005,0.9832880310656702
Patrick Marleau,1728,562,627,1189,0.688,517,1,1997,2021,0,0,3,0,-0.52449656,2.7850008,2.5787725,1.2809278,1.2451395,-0.75438637,-0.76031655,-0.11947112,-1.3845775,0.040471107,-4.187,0.7245600585937497,0.6736103815740464
