Player,GP,G,A,TP,PPG,PIM,POS,firstYear,lastYear,Awards,Cups,All_Star_Games,HoF,FinalValue,HoF_Probability
Bobby Clarke,1144,358,852,1210,1.058,1453,1,1969,1984,4,2,8,1,4.659403121948242,0.9906167646666733
Bernie Nicholls,1127,475,734,1209,1.073,1292,1,1981,1999,0,0,3,0,-0.378607475280762,0.40646280095107945
Vincent Damphousse,1378,432,783,1205,0.8740000000000001,1190,1,1986,2004,0,1,3,0,-2.374147617340088,0.08516543260640344
Dino Ciccarelli,1232,608,592,1200,0.9740000000000001,1425,1,1980,1999,0,0,4,1,4.0747769241333005,0.9832880310656702
Patrick Marleau,1728,562,627,1189,0.688,517,1,1997,2021,0,0,3,0,0.7245600585937497,0.6736103815740464
Rod BrindAmour,1484,452,732,1184,0.7979999999999999,1100,1,1988,2010,0,1,1,0,-1.3008520240783694,0.2140216576224272
Sergei Fedorov,1248,483,696,1179,0.945,839,1,1990,2009,2,3,6,1,12.688133514404296,0.9999969124621654
Bobby Hull,1063,610,560,1170,1.101,640,1,1957,1980,5,1,12,1,8.14146450805664,0.999708874373006
Daniel Alfredsson,1246,444,713,1157,0.929,510,1,1995,2014,1,0,6,0,-0.6087548370361331,0.35234328872064224
Michel Goulet,1089,548,604,1152,1.058,825,1,1979,1994,0,0,5,1,5.575059211730957,0.9962230682078071
Nicklas Lidstrom,1564,264,878,1142,0.73,514,2,1991,2012,8,4,11,1,7.921406066894531,0.999637239925053
Marian Hossa,1309,525,609,1134,0.866,628,1,1997,2021,0,3,5,1,8.163586891174315,0.9997152422358587
Bernie Federko,1000,369,761,1130,1.13,487,1,1976,1990,0,0,2,1,1.1567213897705075,0.7607364639370868
Mike Bossy,752,573,553,1126,1.4969999999999999,222,1,1977,1987,2,4,7,1,9.778946197509764,0.9999433717639693
Joe Nieuwendyk,1257,564,562,1126,0.8959999999999999,677,1,1986,2007,2,3,4,1,9.84398678588867,0.9999469374870483
Darryl Sittler,1096,484,637,1121,1.023,948,1,1970,1985,0,0,4,1,3.962442672729492,0.9813382764792187
Frank Mahovlich,1181,533,570,1103,0.934,1056,1,1956,1974,1,6,15,1,12.082474029541014,0.9999943422240651
Glenn Anderson,1129,498,601,1099,0.973,1120,1,1980,1996,0,6,4,1,10.756665504455565,0.9999786975146119
Theo Fleury,1084,455,633,1088,1.004,1840,1,1988,2003,0,1,7,0,-1.027824127197266,0.26350615989713033
Yevgeni Malkin,912,417,661,1078,1.182,960,1,2006,2021,6,3,4,0,6.764061248779297,0.998846800601306
Henrik Sedin,1330,240,830,1070,0.805,680,1,2000,2018,2,0,3,0,-3.7076145048141482,0.023948386752856803
Dave Taylor,1111,431,638,1069,0.9620000000000001,1589,1,1977,1994,0,0,4,0,-2.1614544029235843,0.10326569326563048
Keith Tkachuk,1201,538,527,1065,0.887,2219,1,1991,2010,0,0,5,0,-1.7663650150299075,0.14599495748345623
Ray Whitney,1330,385,679,1064,0.8,465,1,1991,2014,0,1,2,0,-3.817217015743256,0.021515801575570693
Pat Verbeek,1424,521,541,1063,0.746,2905,1,1982,2002,0,1,2,0,-3.9246702427864077,0.019366191948047125
Joe Mullen,1062,502,561,1063,1.001,241,1,1979,1997,0,3,3,1,5.687466896057129,0.9966232762146806
Denis Potvin,1060,310,742,1052,0.992,1356,2,1973,1988,4,4,9,1,10.836337364196776,0.9999803288415993
Henri Richard,1256,358,688,1046,0.833,928,1,1955,1975,0,11,10,1,7.128006256103515,0.9991983257877993
Daniel Sedin,1306,393,648,1041,0.797,546,1,2000,2018,2,0,3,0,-4.306124732911587,0.013306264770697037
Bobby Smith,1077,357,679,1036,0.9620000000000001,917,1,1978,1993,1,1,4,0,1.8869479064941403,0.8684071409835175
Martin St. Louis,1134,391,642,1033,0.9109999999999999,310,1,1998,2015,4,1,6,1,0.129690921783447,0.5323773616084891
Doug Weight,1238,278,755,1033,0.8340000000000001,970,1,1990,2011,0,1,4,0,-4.212799751281739,0.014588874089164854
Alexander Mogilny,990,473,559,1032,1.042,432,1,1989,2006,0,1,4,0,-4.1768710250854495,0.01511449728646434
Alexei Kovalev,1316,430,599,1029,0.782,1304,1,1992,2013,0,1,3,0,-5.713426792144776,0.0032904771483795838
Brian Leetch,1205,247,781,1028,0.853,571,2,1987,2006,4,1,9,1,6.2385905151367185,0.9980511994866543
Patrick Kane,978,392,635,1027,1.05,380,1,2007,2021,5,3,9,0,6.966602600097656,0.999058037418527
Patrik Elias,1240,408,617,1025,0.8270000000000001,549,1,1995,2016,0,2,0,0,-3.8110735054016116,0.021645521023292612
Eric Staal,1245,437,586,1023,0.8220000000000001,818,1,2003,2021,0,1,6,0,-0.8023898239135745,0.309514544592653
Brian Bellows,1188,485,537,1022,0.86,718,1,1982,1999,0,1,3,0,-0.29919120025634793,0.4257552129025171
Rod Gilbert,1065,406,615,1021,0.9590000000000001,508,1,1960,1978,0,0,8,1,4.323189056396484,0.9869159255786746
Dale Hunter,1409,323,697,1020,0.7240000000000001,3565,1,1980,1999,0,0,1,0,-4.0585708255767825,0.01698037488851083
Pat LaFontaine,865,468,545,1013,1.171,552,1,1983,1998,0,0,0,1,2.0245683555603025,0.8833525612036839
Steve Larmer,1006,441,571,1012,1.006,532,1,1980,1995,1,1,2,0,-3.3493255610466006,0.03391725647142732
Lanny McDonald,1111,500,506,1006,0.905,899,1,1973,1989,0,1,4,1,3.2528660659790036,0.9627759642411176
Brian Propp,1016,425,579,1004,0.988,830,1,1979,1994,0,0,5,0,4.670691764831543,0.9907211157040218
Paul Kariya,989,402,587,989,1.0,399,1,1994,2010,0,0,7,1,3.058662689208984,0.9551550495932267
Rick Middleton,1005,448,540,988,0.983,157,1,1974,1988,0,0,3,0,-3.9027706916332248,0.019786496634423393
Dave Keon,1296,396,590,986,0.7609999999999999,117,1,1960,1982,2,4,8,1,5.15935066986084,0.9942873922282355
Andy Bathgate,1069,349,624,973,0.91,624,1,1952,1971,1,1,8,1,4.9852431182861325,0.9932083268897084
Shane Doan,1540,402,570,972,0.631,1353,1,1995,2017,0,0,2,0,-6.531520092010498,0.0014546705623363996
Ryan Getzlaf,1058,274,693,967,0.914,892,1,2005,2021,0,1,3,0,-2.8965956802368167,0.052322107556349945
Maurice Richard,978,544,422,966,0.988,1285,1,1942,1960,1,8,13,1,10.870776451110839,0.9999809947529527
Henrik Zetterberg,1082,337,623,960,0.887,401,1,2002,2021,1,1,0,0,-3.0136983032226565,0.046810852033137576
Kirk Muller,1349,357,602,959,0.711,1223,1,1984,2003,0,1,6,0,1.3164670829772946,0.7885933206799999
Larry Robinson,1384,208,750,958,0.6920000000000001,793,2,1972,1992,3,6,10,1,12.201854980468749,0.999994978892352
Anze Kopitar,1077,333,623,956,0.888,296,1,2006,2021,0,2,5,0,-0.42027541351318387,0.3964508479791996
Rick Tocchet,1144,440,512,952,0.8320000000000001,2912,1,1984,2002,0,1,4,0,-7.496773683547974,0.000554563965171645
