Player,GP,G,A,TP,PPG,PIM,POS,firstYear,lastYear,Awards,Cups,All_Star_Games,HoF,FinalValue,HoF_Probability
Ted Harris,788,30,168,198,0.251,1000,2,1963,1975,0,5,5,0,-5.053854190826416,0.006344172694553283
Brad Marsh,1086,23,175,198,0.182,1241,2,1978,1993,0,0,1,0,-9.489683353424073,7.562232768674199e-05
Bert Marshall,868,17,181,198,0.228,926,2,1965,1979,0,0,0,0,-10.353481494903566,3.188058430346722e-05
Troy Loney,624,87,110,197,0.316,1091,1,1983,1995,0,2,0,0,-10.788770401000978,2.0629447127951555e-05
George Allen,339,82,115,197,0.581,179,1,1938,1947,0,0,0,0,-12.700916015625001,3.0483226667375175e-06
Serge Bernier,302,78,119,197,0.652,234,1,1968,1981,0,0,0,0,-12.684742652893068,3.0980249856155716e-06
Terry Yake,403,77,120,197,0.489,220,1,1988,2001,0,0,0,0,-13.020579063415529,2.2142843976541248e-06
Mattias Ekholm,542,45,152,197,0.363,265,2,2011,2021,0,0,0,0,-10.862600528717042,1.916126642692838e-05
John Bob Kelly,425,87,109,196,0.461,687,1,1973,1979,0,0,0,0,-10.733037197113038,2.1811809620021973e-05
Steve Downie,434,76,120,196,0.452,1057,1,2007,2016,0,0,0,0,-11.956414424896241,6.4178920018068295e-06
Mike Eagles,853,74,122,196,0.23,928,1,1982,2000,0,0,0,0,-12.857442581176759,2.606648691797372e-06
Paul Woods,501,72,124,196,0.391,276,1,1977,1984,0,0,0,0,-12.907853805541993,2.4785018227859713e-06
Zach Bogosian,650,53,143,196,0.302,575,2,2008,2021,0,1,0,0,-9.0963976020813,0.00011205624058750138
Martin Skoula,776,44,152,196,0.253,328,2,1999,2010,0,1,0,0,-10.471406661987306,2.8334370164826976e-05
Sergei Krivokrasov,450,86,109,195,0.433,288,1,1992,2002,0,0,1,0,-12.781682693481446,2.8118005764601903e-06
Paul Haynes,391,61,134,195,0.499,164,1,1930,1941,0,0,0,0,-13.01512786102295,2.226387842378491e-06
Ken Klee,934,55,140,195,0.209,880,2,1994,2009,0,0,0,0,-9.864671432495118,5.197626374125785e-05
Hampus Lindholm,508,51,144,195,0.384,260,2,2013,2021,0,0,0,0,-10.862600528717042,1.916126642692838e-05
Richard Smehlik,644,49,146,195,0.303,415,2,1992,2003,0,1,0,0,-10.087710582733155,4.158578443612044e-05
Jim Johnson,829,29,166,195,0.235,1197,2,1985,1998,0,0,0,0,-10.152198516845704,3.898874643775008e-05
Gerry OFlaherty,438,99,95,194,0.44299999999999995,168,1,1971,1979,0,0,0,0,-12.722201072692872,2.9841247899103884e-06
Tom Wilson,527,81,113,194,0.368,1029,1,2012,2021,0,1,0,0,-11.01355429840088,1.6476576773515897e-05
Derek Smith,335,78,116,194,0.579,60,1,1975,1983,0,0,0,0,-12.811475479125978,2.7292650201720633e-06
Bob Miller,404,75,119,194,0.48,220,1,1977,1985,0,0,0,0,-12.882879936218263,2.5411788322827673e-06
Wayne Primeau,774,69,125,194,0.251,789,1,1994,2010,0,0,0,0,-11.858352863311769,7.0791271449955135e-06
Anatoli Semyonov,362,68,126,194,0.536,122,1,1989,1997,0,0,0,0,-12.964348518371583,2.3423617077963765e-06
Greg de Vries,878,48,146,194,0.221,780,2,1995,2009,0,0,0,0,-9.694866859436036,6.159508642590344e-05
Sami Vatanen,434,45,149,194,0.447,192,2,2012,2021,0,0,0,0,-10.90091773223877,1.8440961974706608e-05
David Shaw,769,41,153,194,0.252,906,2,1982,1998,0,0,0,0,-10.833030426025392,1.9736316098273582e-05
Brooks Orpik,1035,18,176,194,0.187,972,2,2002,2019,0,2,0,0,-9.120351993560792,0.00010940418618842074
Ace Bailey,313,111,82,193,0.617,472,1,1926,1934,1,1,0,1,-8.67714186859131,0.00017040846091011052
Andre Burakovsky,388,84,109,193,0.4970000000000001,99,1,2014,2021,0,1,0,0,-12.261812889099122,4.728901525704053e-06
Emile Bouchard,785,49,144,193,0.24600000000000002,863,2,1941,1956,0,4,6,0,-2.4744860763549807,0.07766626908623377
Randy Gregg,474,41,152,193,0.40700000000000003,333,2,1981,1992,0,5,0,0,-7.957089864730835,0.00035004810358318694
Frantisek Kaberle,523,29,164,193,0.369,218,2,1999,2009,0,1,0,0,-9.540499412536622,7.187577395078875e-05
Travis Konecny,304,88,104,192,0.632,163,1,2016,2021,0,0,1,0,-12.509355270385743,3.691938266557701e-06
Murray Murdoch,508,84,108,192,0.37799999999999995,197,1,1926,1937,0,2,0,0,-11.336025917053224,1.193496951899794e-05
Glen Sather,658,80,112,192,0.292,724,1,1966,1976,0,0,0,0,-11.514127933502198,9.987882782637354e-06
Chris Tierney,440,64,128,192,0.436,90,1,2014,2021,0,0,0,0,-13.003011428833009,2.253527746282326e-06
David Jones,462,104,87,191,0.413,122,1,2007,2016,0,0,0,0,-11.81482669067383,7.394056288461712e-06
Blair MacDonald,219,91,100,191,0.872,65,1,1979,1983,0,0,1,0,-10.360664569854737,3.1652411397968664e-05
Georges Mantha,488,89,102,191,0.391,148,2,1928,1941,0,2,0,0,-9.422067367553712,8.0912010582384e-05
Joey Johnston,331,85,106,191,0.5770000000000001,320,1,1968,1976,0,0,3,0,-10.69581862640381,2.263889155185392e-05
Bob Gracie,379,82,109,191,0.504,205,1,1930,1939,0,2,0,0,-11.153757774353029,1.4321164274954333e-05
Dave Gardner,350,75,115,190,0.5429999999999999,41,1,1972,1980,0,0,0,0,-12.964348518371583,2.3423617077963765e-06
Turner Stevenson,644,75,115,190,0.295,969,1,1992,2006,0,1,0,0,-12.299136840820314,4.555654285132013e-06
Joel Quenneville,803,54,136,190,0.237,705,2,1978,1991,0,0,0,0,-9.660146438598634,6.377111508494873e-05
Johnny Oduya,850,41,149,190,0.22399999999999998,372,2,2006,2018,0,2,0,0,-9.421400749206544,8.096596162642852e-05
Travis Hamonic,642,37,153,190,0.29600000000000004,595,2,2010,2021,0,0,0,0,-9.358462059020997,8.622518204019938e-05
Murray Wilson,386,94,95,189,0.49,162,1,1972,1979,0,4,0,0,-9.826366626739503,5.4005717686842026e-05
Vladislav Namestnikov,430,83,106,189,0.44,227,1,2013,2021,0,0,0,0,-12.897902214050294,2.5032899347036798e-06
Bill Hogaboam,332,80,109,189,0.569,100,1,1972,1980,0,0,0,0,-12.700916015625001,3.0483226667375175e-06
Tom Anderson,319,62,127,189,0.5920000000000001,180,1,1934,1942,1,0,0,0,-10.270994865417482,3.462171444163834e-05
Marc Staal,897,43,146,189,0.21100000000000002,434,2,2007,2021,0,0,1,0,-11.185240470886232,1.3877324951354578e-05
Don Awrey,979,31,158,189,0.193,1065,2,1963,1979,0,3,1,0,-8.233113967895509,0.0002656370538176187
Brett Connolly,498,98,90,188,0.37799999999999995,222,1,2011,2021,0,1,0,0,-12.041125976562501,5.8966163403908794e-06
Matt Read,449,88,100,188,0.419,83,1,2011,2019,0,0,0,0,-11.648652755737306,8.730730745607472e-06
Marcel Goc,636,75,113,188,0.29600000000000004,157,1,2003,2015,0,0,0,0,-13.253617012023927,1.7539875431384696e-06
Bill Gardner,380,73,115,188,0.495,68,1,1980,1989,0,0,0,0,-13.01512786102295,2.226387842378491e-06
Murray Armstrong,270,67,121,188,0.696,72,1,1937,1946,0,0,0,0,-8.302569591522218,0.00024781763132558524
Jim Korn,597,66,122,188,0.315,1801,2,1979,1990,0,0,0,0,-12.161217414855958,5.229354844312738e-06
Patrik Stefan,455,64,124,188,0.413,158,1,1999,2007,0,0,0,0,-12.095638000488282,5.5837856243860795e-06
Alexander Karpovtsev,596,34,154,188,0.315,430,2,1993,2006,0,1,0,0,-10.087710582733155,4.158578443612044e-05
Paul Byron,453,89,98,187,0.413,125,1,2010,2021,0,0,0,0,-11.985078536987306,6.2365415154733104e-06
Oleg Petrov,382,72,115,187,0.49,101,1,1992,2003,0,0,0,0,-13.01512786102295,2.226387842378491e-06
Gregory Campbell,803,71,116,187,0.233,696,1,2003,2016,0,1,0,0,-10.878922664642335,1.8851058046115606e-05
Alex Chiasson,524,92,94,186,0.355,296,1,2012,2021,0,1,0,0,-12.154536926269532,5.264406255672323e-06
Jean-Gabriel Pageau,439,90,96,186,0.424,172,1,2012,2021,0,0,0,0,-11.648652755737306,8.730730745607472e-06
Antoine Roussel,525,80,106,186,0.354,981,1,2012,2021,0,0,0,0,-12.101282798767091,5.552355248434357e-06
Kjell Samuelsson,813,47,138,186,0.22899999999999998,1225,2,1985,1999,0,1,1,0,-9.874280654907228,5.1479229853334865e-05
Brett Clark,689,45,141,186,0.27,293,2,1997,2013,0,0,0,0,-11.673385345458986,8.517447400073974e-06
Jimmy Watson,613,38,148,186,0.303,492,2,1972,1982,0,2,0,0,-8.43140097808838,0.0002178685038911868
Barret Jackman,876,29,157,186,0.212,1102,2,2001,2016,1,0,0,0,-7.600907527923584,0.0004997475932854809
Tom Rowe,357,85,100,185,0.518,615,1,1976,1983,0,0,0,0,-11.375404083251954,1.1474130739356943e-05
Howie Meeker,346,83,102,185,0.535,329,1,1946,1954,1,4,3,0,-4.912022196769715,0.007303855960766295
Lionel Conacher,498,80,105,185,0.371,882,2,1925,1937,0,2,0,1,-7.663835727691651,0.00046928273692353495
Marcus Foligno,570,76,109,185,0.325,493,1,2011,2021,0,0,0,0,-12.465160095214845,3.858762761466835e-06
Arnie Brown,681,44,141,185,0.272,738,2,1961,1974,0,0,0,0,-9.472011291503907,7.697050472835283e-05
Calle Jarnkrok,462,82,102,184,0.39799999999999996,99,1,2013,2021,0,0,0,0,-12.818310462951661,2.710674194840214e-06
Bill Ezinicki,368,79,105,184,0.5,713,1,1944,1955,0,3,2,0,-5.949613892555237,0.002600068865770553
Lorne Henning,544,73,111,184,0.33799999999999997,102,1,1972,1981,0,1,0,0,-12.316487037658693,4.477294881683153e-06
Hal Gill,1106,36,148,184,0.166,960,2,1997,2014,0,1,0,0,-9.606349193573,6.729554690157067e-05
Sylvain Lefebvre,944,30,154,184,0.195,674,2,1989,2003,0,1,0,0,-8.36532136154175,0.0002327480228326402
Paul Fenton,411,100,83,183,0.445,198,1,1984,1992,0,0,0,0,-12.596619331359864,3.383422743686721e-06
Josef Vasicek,460,77,106,183,0.39799999999999996,311,1,2000,2008,0,1,0,0,-12.234720909118654,4.858767427794626e-06
Dave Hudson,409,59,124,183,0.447,89,1,1972,1978,0,0,0,0,-12.877430641174318,2.5550642285679514e-06
Vaclav Varada,493,58,125,183,0.371,410,1,1995,2006,0,0,0,0,-12.396022521972657,4.1349858274010444e-06
Don Kozak,437,96,86,182,0.41600000000000004,480,1,1972,1979,0,0,0,0,-10.936218940734864,1.780134143062401e-05
Mark Bell,450,87,95,182,0.40399999999999997,602,1,2000,2012,0,0,0,0,-11.118599617004396,1.483361823586117e-05
Richard Panik,474,84,98,182,0.384,256,1,2012,2021,0,0,0,0,-12.854135238647462,2.6152840214531573e-06
Mike Stapleton,687,71,111,182,0.265,342,1,1986,2001,0,0,0,0,-13.271659576416017,1.7226249460967486e-06
Bryan Marchment,926,40,142,182,0.19699999999999998,2307,2,1988,2006,0,0,0,0,-12.64506121826172,3.2234303425244808e-06
Mike Fidler,271,84,97,181,0.6679999999999999,124,1,1976,1983,0,0,0,0,-8.074357234954835,0.0003113264213602517
Earl Robinson,417,83,98,181,0.434,133,1,1928,1940,0,1,0,0,-12.124114715576173,5.427021275351505e-06
Phil Roberto,385,75,106,181,0.47,464,1,1969,1977,0,1,0,0,-11.696571075439454,8.322237593927145e-06
Dave Pichette,322,41,140,181,0.562,348,2,1980,1988,0,0,0,0,-10.154170238494874,3.8911950208952626e-05
Marc Bergevin,1191,36,145,181,0.152,1090,2,1984,2004,0,0,0,0,-9.813404762268068,5.471025034661005e-05
Sean Bergenheim,506,96,84,180,0.35600000000000004,379,1,2003,2015,0,0,0,0,-12.123222076416017,5.43186778352058e-06
Chad LaRose,508,85,95,180,0.354,286,1,2005,2013,0,1,0,0,-12.154536926269532,5.264406255672323e-06
Victor Rask,410,71,109,180,0.439,82,1,2014,2021,0,0,0,0,-12.877430641174318,2.5550642285679514e-06
Kevin McClelland,588,68,112,180,0.306,1672,1,1981,1994,0,4,0,0,-11.53938552093506,9.738774595675278e-06
Dmitri Orlov,520,37,143,180,0.34600000000000003,207,2,2011,2021,0,1,0,0,-10.214393341064454,3.6637803080889e-05
Willie Mitchell,907,34,146,180,0.198,787,2,1999,2016,0,2,0,0,-7.856181823730469,0.000387200040195194
Mike Rathje,768,30,150,180,0.23399999999999999,491,2,1993,2010,0,0,0,0,-10.752818786621095,2.138458609411345e-05
Denis Dupere,421,80,99,179,0.425,66,1,1970,1978,0,0,1,0,-11.463693344116212,1.0504531224463821e-05
Boyd Devereaux,627,67,112,179,0.285,205,1,1997,2009,0,1,0,0,-13.184114181518556,1.880230726575189e-06
Danny OShea,370,64,115,179,0.484,265,1,1968,1973,0,0,2,0,-11.63413068008423,8.858443034176408e-06
Ian White,503,45,134,179,0.35600000000000004,254,2,2005,2013,0,0,0,0,-10.862600528717042,1.916126642692838e-05
Gerry Hart,730,29,150,179,0.245,1240,2,1968,1983,0,0,0,0,-10.679423534393312,2.3013109002526685e-05
Alex DeBrincat,239,89,89,178,0.745,38,1,2017,2021,0,0,0,0,-10.90130540084839,1.843381450991423e-05
Zack Kassian,530,82,96,178,0.336,787,1,2011,2021,0,0,0,0,-10.880167209625245,1.8827612090915406e-05
David Moss,501,78,100,178,0.355,157,1,2006,2015,0,0,0,0,-12.959244453430177,2.354347808819385e-06
Jamie Hislop,345,75,103,178,0.516,86,1,1979,1984,0,0,0,0,-13.01512786102295,2.226387842378491e-06
Forbes Kennedy,603,70,108,178,0.295,988,1,1956,1969,0,0,0,0,-13.079467498779298,2.0876540502119144e-06
Phillip Danault,344,50,128,178,0.517,158,1,2014,2021,0,0,0,0,-12.82699366760254,2.6872388136687066e-06
Zbynek Michalek,784,42,136,178,0.22699999999999998,322,2,2003,2017,0,0,0,0,-11.114163124084474,1.4899572692673299e-05
Richard Matvichuk,796,39,139,178,0.22399999999999998,624,2,1992,2007,0,1,0,0,-9.288958751678468,9.243071818564189e-05
Jack Crawford,548,38,140,178,0.325,202,2,1937,1950,0,2,0,0,-9.915340148925782,4.9408427133433676e-05
Ken Daneyko,1283,36,142,178,0.139,2516,2,1983,2003,0,3,0,0,-9.921775543212892,4.909150089940115e-05
Jiri Tlusty,446,89,88,177,0.397,126,1,2007,2016,0,0,0,0,-12.818310462951661,2.710674194840214e-06
John Mitchell,548,70,107,177,0.32299999999999995,267,1,2008,2017,0,0,0,0,-13.535542213439943,1.3230861781374319e-06
Matt Dumba,416,64,113,177,0.425,231,2,2013,2021,0,0,0,0,-9.725121700286866,5.9759555119056274e-05
Marcus Ragnarsson,632,37,140,177,0.28,482,2,1995,2004,0,0,1,0,-10.693440162658693,2.269280019719346e-05
Tim Watters,741,26,151,177,0.239,1289,2,1981,1995,0,0,0,0,-10.679423534393312,2.3013109002526685e-05
Jason Dawe,366,86,90,176,0.48100000000000004,162,1,1993,2002,0,0,0,0,-12.90456935119629,2.4866557118340266e-06
Anthony Mantha,265,85,91,176,0.664,171,1,2015,2021,0,0,0,0,-8.074357234954835,0.0003113264213602517
Erik Haula,409,85,91,176,0.43,186,1,2013,2021,0,0,0,0,-11.523071014404298,9.898959440057801e-06
Sergei Kostitsyn,353,67,109,176,0.499,188,1,2007,2013,0,0,0,0,-13.01512786102295,2.226387842378491e-06
Richie Dunn,483,36,140,176,0.364,314,2,1977,1989,0,0,0,0,-10.805760585784913,2.028191678042915e-05
Anders Eriksson,572,22,154,176,0.308,242,2,1995,2010,0,1,0,0,-10.64713641357422,2.3768243330993e-05
Joe Malone,126,143,32,175,1.389,57,1,1917,1924,2,1,0,1,-3.0174519653320315,0.04664364977293062
Tom Cook,349,77,98,175,0.501,184,1,1929,1938,0,1,0,0,-12.372371398925782,4.233948143846682e-06
Kent-Erik Andersson,456,72,103,175,0.384,78,1,1977,1984,0,0,0,0,-12.928869926452638,2.4269569886192968e-06
Mac Colville,353,71,104,175,0.496,130,1,1935,1947,0,1,0,0,-12.372371398925782,4.233948143846682e-06
Vladimir Konstantinov,446,47,128,175,0.392,838,2,1991,1997,0,2,0,0,-7.515169822692871,0.0005444608974441692
Keith Ballard,605,38,137,175,0.289,612,2,2005,2015,0,0,0,0,-9.931715690612794,4.860596500995074e-05
Ed Kea,583,30,145,175,0.3,508,2,1973,1983,0,0,0,0,-10.179566108703614,3.793622697142714e-05
Nick Schultz,1066,30,145,175,0.16399999999999998,483,2,2001,2017,0,0,0,0,-10.895497047424318,1.8541194181988334e-05
Shawn Matthias,551,90,84,174,0.316,180,1,2007,2018,0,0,0,0,-13.41953345489502,1.4858330883907753e-06
Stan Gilbertson,428,85,89,174,0.40700000000000003,148,1,1971,1977,0,0,0,0,-12.818310462951661,2.710674194840214e-06
Alexander Semak,289,83,91,174,0.602,187,1,1991,1997,0,0,0,0,-12.546140396118165,3.558597844027591e-06
Derrick Smith,537,82,92,174,0.324,373,1,1984,1994,0,0,0,0,-12.613120758056642,3.3280497502890297e-06
Bryan Rust,313,79,95,174,0.556,104,1,2014,2021,0,2,0,0,-11.060663902282716,1.571838328387114e-05
Rick Dudley,309,75,99,174,0.563,292,1,1972,1981,0,0,0,0,-12.760084831237794,2.8731898355385854e-06
Tomas Kopecky,578,68,106,174,0.301,307,1,2005,2015,0,2,0,0,-11.689566814422609,8.38073284862665e-06
Jere Gillis,386,78,95,173,0.44799999999999995,230,1,1977,1987,0,0,0,0,-12.882879936218263,2.5411788322827673e-06
Craig Johnson,557,75,98,173,0.311,260,1,1994,2004,0,0,0,0,-13.535542213439943,1.3230861781374319e-06
Richard Kromm,372,70,103,173,0.465,138,1,1983,1993,0,0,0,0,-12.877430641174318,2.5550642285679514e-06
Craig Wolanin,695,40,133,173,0.249,894,2,1985,1998,0,1,0,0,-9.066465103149415,0.00011546067403919732
Justin Braun,674,27,146,173,0.257,244,2,2010,2021,0,0,0,0,-11.73022624206543,8.046814260390075e-06
Harry Broadbent,305,121,51,172,0.564,564,1,1918,1929,0,4,0,1,-8.050598346710206,0.00031880937417552154
Marek Svatos,344,100,72,172,0.5,217,1,2003,2011,0,0,0,0,-12.739767753601075,2.9321615229721156e-06
Daniel Paille,582,85,87,172,0.29600000000000004,135,1,2005,2016,0,1,0,0,-12.500302040100099,3.7255138638471432e-06
Charley McVeigh,397,84,88,172,0.433,138,1,1926,1935,0,0,0,0,-12.766871177673341,2.8537574416409767e-06
Rick Hampton,337,59,113,172,0.51,147,2,1974,1980,0,0,0,0,-11.101169311523439,1.5094435287485344e-05
Bob Manno,371,41,131,172,0.46399999999999997,274,2,1976,1985,0,0,1,0,-10.721408569335939,2.2066925889385373e-05
Kenny Smith,331,78,93,171,0.517,49,1,1944,1951,0,0,0,0,-13.01512786102295,2.226387842378491e-06
Casey Cizikas,538,74,97,171,0.318,237,1,2011,2021,0,0,0,0,-13.28434058380127,1.7009182856328603e-06
Vladimir Sobotka,548,53,118,171,0.312,362,1,2007,2020,0,0,0,0,-12.97488185119629,2.317818377975734e-06
Niclas Havelid,628,34,137,171,0.272,342,2,1999,2009,0,0,0,0,-11.169565879821779,1.409655697627643e-05
Gary Nylund,608,32,139,171,0.281,1235,2,1982,1993,0,0,0,0,-10.679423534393312,2.3013109002526685e-05
Bob Goldham,650,28,143,171,0.263,400,2,1941,1956,0,5,6,0,-4.859966003417969,0.00769113533846032
Andreas Johansson,377,82,88,170,0.451,190,1,1995,2004,0,0,0,0,-12.766871177673341,2.8537574416409767e-06
Vladimir Tsyplakov,331,69,101,170,0.514,90,1,1995,2001,0,0,0,0,-13.01512786102295,2.226387842378491e-06
Dmitri Kulikov,681,35,135,170,0.25,427,2,2009,2021,0,0,0,0,-11.303720199584962,1.232682807536969e-05
Fernando Pisani,462,87,82,169,0.366,200,1,2002,2011,0,0,0,0,-12.818310462951661,2.710674194840214e-06
Rod Schutt,286,77,92,169,0.591,177,1,1977,1986,0,0,0,0,-12.811475479125978,2.7292650201720633e-06
Zach Werenski,305,58,111,169,0.5539999999999999,63,2,2016,2021,0,0,1,0,-10.99101134490967,1.6852219356774438e-05
Ulf Nilsson,170,57,112,169,0.9940000000000001,85,1,1978,1983,0,0,0,0,-7.116858207702637,0.0008106540309484589
Paul Baxter,472,48,121,169,0.358,1564,2,1979,1987,0,0,0,0,-11.568516456604005,9.459170007325919e-06
Jason Smith,1008,41,128,169,0.168,1099,2,1993,2009,0,0,0,0,-10.500898563385011,2.7510960344205003e-05
Viktor Stalberg,488,82,86,168,0.344,245,1,2009,2017,0,1,0,0,-12.211377822875978,4.9735196152540205e-06
Antti Laaksonen,483,81,87,168,0.348,152,1,1998,2007,0,0,0,0,-12.8486849899292,2.629576846702436e-06
Ryan Dzingel,335,75,93,168,0.501,135,1,2015,2021,0,0,0,0,-13.01512786102295,2.226387842378491e-06
Mike Craig,423,71,97,168,0.397,550,1,1990,2002,0,0,0,0,-12.095226013183595,5.586086534265201e-06
Marcus Nilson,521,67,101,168,0.322,270,1,1998,2008,0,0,0,0,-13.28434058380127,1.7009182856328603e-06
Doug Hicks,561,37,131,168,0.299,442,2,1974,1983,0,0,0,0,-11.006942474365236,1.6585876128856192e-05
Marek Malik,691,33,135,168,0.243,620,2,1994,2009,0,0,0,0,-9.931715690612794,4.860596500995074e-05
Carson Cooper,295,110,57,167,0.5660000000000001,111,1,1924,1932,0,0,0,0,-12.530664169311525,3.614099684083419e-06
Vladimir Ruzicka,233,82,85,167,0.7170000000000001,129,1,1989,1994,0,0,0,0,-9.645132266998292,6.473574702115133e-05
Tim Taylor,746,73,94,167,0.22399999999999998,433,1,1993,2008,0,2,0,0,-11.708230697631837,8.225767739887359e-06
Ryan Spooner,325,48,119,167,0.514,63,1,2012,2019,0,0,0,0,-12.82699366760254,2.6872388136687066e-06
Alexei Gusarov,607,39,128,167,0.275,313,2,1990,2001,0,1,0,0,-11.030627929687501,1.6197654219551496e-05
Niklas Hjalmarsson,786,25,142,167,0.212,318,2,2007,2021,0,3,0,0,-9.039530956268312,0.00011861239383797442
Wildor Larochelle,474,92,74,166,0.35,211,1,1925,1937,0,2,0,0,-11.336025917053224,1.193496951899794e-05
Brock Boeser,203,79,87,166,0.818,56,1,2016,2021,0,0,1,0,-10.471223556518556,2.8339558670934493e-05
Maurice Lemay,317,72,94,166,0.524,442,1,1981,1989,0,1,0,0,-11.951117240905763,6.451978739378791e-06
Alan Kerr,391,72,94,166,0.425,826,1,1984,1993,0,0,0,0,-9.847097122192384,5.289773581063188e-05
Bob Brooke,447,69,97,166,0.371,520,1,1983,1990,0,0,0,0,-12.050262176513673,5.842989335786214e-06
Alyn McCauley,488,69,97,166,0.34,116,1,1997,2007,0,0,0,0,-12.959244453430177,2.354347808819385e-06
Riley Sheahan,518,67,99,166,0.32,83,1,2011,2021,0,0,0,0,-13.278890335083009,1.7102140064689352e-06
Newsy Lalonde,99,124,41,165,1.6669999999999998,183,1,1917,1927,1,0,0,1,-2.1087092990875247,0.1082532008735171
Ab DeMarco,209,72,93,165,0.789,53,1,1938,1947,0,0,0,0,-11.011864387512208,1.6504443800228704e-05
Larry Romanchych,298,68,97,165,0.5539999999999999,102,1,1970,1977,0,0,0,0,-12.964348518371583,2.3423617077963765e-06
Riley Nash,546,61,104,165,0.302,130,1,2011,2021,0,0,0,0,-13.278890335083009,1.7102140064689352e-06
Merlin Malinowski,282,54,111,165,0.585,121,1,1978,1983,0,0,0,0,-12.811475479125978,2.7292650201720633e-06
Al Sims,475,49,116,165,0.34700000000000003,286,2,1973,1983,0,0,0,0,-10.805760585784913,2.028191678042915e-05
Jocelyn Lemieux,597,80,84,164,0.275,740,1,1986,1998,0,0,0,0,-11.514127933502198,9.987882782637354e-06
Anthony Duclair,355,79,85,164,0.462,115,1,2014,2021,0,0,1,0,-12.818052017211915,2.711374845674435e-06
Phil Sykes,456,79,85,164,0.36,519,1,1982,1992,0,0,0,0,-12.050262176513673,5.842989335786214e-06
Gary Jarrett,341,72,92,164,0.48100000000000004,131,1,1960,1972,0,0,0,0,-13.01512786102295,2.226387842378491e-06
Trevor Lewis,678,70,94,164,0.242,171,1,2008,2021,0,2,0,0,-12.31421061706543,4.487498651846269e-06
Damon Severson,434,37,127,164,0.37799999999999995,266,2,2014,2021,0,0,0,0,-10.832226001739503,1.97521985439198e-05
Ric Nattress,536,29,135,164,0.306,377,2,1982,1993,0,1,0,0,-9.978829109191896,4.6369182972942844e-05
Dave Burrows,724,29,135,164,0.22699999999999998,373,2,1971,1981,0,0,3,0,-9.724370204925538,5.9804478339443933e-05
Tom Laidlaw,705,25,139,164,0.233,717,2,1980,1990,0,0,0,0,-9.472011291503907,7.697050472835283e-05
Joe Reekie,902,25,139,164,0.182,1326,2,1985,2002,0,0,0,0,-10.620322429656984,2.4414170302681178e-05
Mattias Norstrom,903,18,146,164,0.182,661,2,1993,2008,0,0,2,0,-7.49096842956543,0.0005577909116548878
Marc Habscheid,345,72,91,163,0.47200000000000003,171,1,1981,1992,0,0,0,0,-12.877430641174318,2.5550642285679514e-06
Craig Patrick,401,72,91,163,0.406,61,1,1971,1979,0,0,0,0,-12.803289138793946,2.751699353257562e-06
Erik Christensen,387,68,95,163,0.42100000000000004,162,1,2005,2012,0,0,0,0,-11.633630477905275,8.862875115788773e-06
Darius Kasparaitis,863,27,136,163,0.18899999999999997,1379,2,1992,2007,0,0,0,0,-11.64632722091675,8.751057812777479e-06
Sean McKenna,414,82,80,162,0.391,181,1,1981,1990,0,0,0,0,-12.69272967529297,3.0733796192699307e-06
Lorne Ferguson,422,82,80,162,0.384,193,1,1949,1959,0,0,0,0,-12.69272967529297,3.0733796192699307e-06
Joey Kocur,820,80,82,162,0.198,2519,1,1984,1999,0,3,0,0,-12.135131561279298,5.367561073580419e-06
Leo Komarov,457,62,100,162,0.354,190,1,2012,2021,0,0,1,0,-12.869491302490236,2.575430436727679e-06
Victor Venasky,430,61,101,162,0.377,66,1,1972,1979,0,0,0,0,-12.928869926452638,2.4269569886192968e-06
Eddie Wares,321,60,102,162,0.505,161,2,1936,1947,0,1,0,0,-10.458412372589112,2.8704947079409944e-05
Brett McLean,385,56,106,162,0.42100000000000004,204,1,2002,2009,0,0,0,0,-11.633630477905275,8.862875115788773e-06
Dmitri Kalinin,539,36,126,162,0.301,321,2,1999,2009,0,0,0,0,-10.566183292388917,2.577233147219856e-05
Dollard St-Laurent,652,29,133,162,0.248,496,2,1950,1962,0,5,5,0,-6.11755808544159,0.0021989847739056255
Igor Ulanov,739,27,135,162,0.21899999999999997,1151,2,1991,2006,0,0,0,0,-10.679423534393312,2.3013109002526685e-05
Ronnie Stern,638,75,86,161,0.252,2077,1,1987,2000,0,0,0,0,-14.651362144470216,4.3350496913083703e-07
Al McDonough,237,73,88,161,0.679,73,1,1970,1978,0,0,1,0,-8.12553807449341,0.0002957979564670954
Jordin Tootoo,723,65,96,161,0.223,1010,1,2003,2017,0,0,0,0,-13.016746246337892,2.2227876110646123e-06
Patrick OSullivan,334,58,103,161,0.48200000000000004,116,1,2006,2012,0,0,0,0,-13.01512786102295,2.226387842378491e-06
Clayton Keller,242,56,105,161,0.665,80,1,2016,2021,0,0,1,0,-8.12553807449341,0.0002957979564670954
Boyd Gordon,706,56,105,161,0.228,149,1,2003,2017,0,0,0,0,-13.826869689941407,9.88704161839836e-07
David Savard,562,40,121,161,0.28600000000000003,309,2,2011,2021,0,0,0,0,-11.949861251831056,6.460087392959832e-06
Colton Parayko,390,39,122,161,0.413,111,2,2015,2021,0,1,0,0,-9.22520562362671,9.851476296076003e-05
Andrew MacDonald,586,28,133,161,0.275,276,2,2008,2019,0,0,0,0,-11.673385345458986,8.517447400073974e-06
