playerID,firstName,lastName,HOF,year_first,year_last,seasons,GP,G,A,Pts,PIM,+/-,PPG,PPA,SHG,SHA,GWG,GTG,SOG,PostGP,PostG,PostA,PostPts,PostPIM,Post+/-,PostPPG,PostPPA,PostSHG,PostSHA,PostGWG,PostSOG
murphmi02,Mike,Murphy,0,2011,2011,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
murphro01,Ron,Murphy,0,1952,1969,18,889,205,274,479,460,22,17,0,0,0,7,4,165,53,7,8,15,26,0,0,0,0,0,1,0
murphro02,Rob,Murphy,0,1987,1993,7,125,9,12,21,152,-54,0,0,0,0,1,0,100,4,0,0,0,2,-3,0,0,0,0,0,2
murraal01,Allan,Murray,0,1933,1939,7,271,5,9,14,163,0,0,0,0,0,0,0,0,14,0,0,0,10,0,0,0,0,0,0,0
murraan02,Andrew,Murray,0,2007,2011,5,220,24,16,40,36,-7,1,0,0,3,4,0,288,0,0,0,0,0,0,0,0,0,0,0,0
murrabo01,Bob,Murray,0,1973,1976,4,194,6,16,22,98,-7,0,0,1,0,1,2,172,10,1,1,2,15,0,0,0,0,0,0,0
murrabo02,Bob,Murray,0,1975,1989,15,1008,132,382,514,873,20,48,23,3,3,11,6,2076,112,19,37,56,106,-9,5,8,0,0,0,127
murrabr02,Brady,Murray,0,2007,2007,1,4,1,0,1,6,-2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
murrach01,Chris,Murray,0,1994,1999,6,242,16,18,34,550,-8,0,0,0,0,3,1,186,15,1,0,1,12,-2,0,0,0,0,0,13
murrado01,Douglas,Murray,0,2005,2011,7,422,6,50,56,335,40,1,2,0,1,1,0,401,57,2,8,10,46,-10,0,0,0,0,0,64
murraga01,Garth,Murray,0,2003,2008,6,116,8,2,10,131,-19,0,0,0,0,1,0,86,6,0,0,0,0,2,0,0,0,0,0,4
murragl01,Glen,Murray,0,1991,2007,17,1009,337,314,651,679,14,86,69,9,6,55,5,2576,94,20,22,42,66,-15,2,2,0,0,3,183
murraji01,Jim,Murray,0,1967,1967,1,30,0,2,2,14,-4,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0
murrake01,Ken,Murray,0,1969,1975,7,106,1,10,11,135,-18,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0
murrale01,Leo,Murray,0,1932,1932,1,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
murrama01,Marty,Murray,0,1995,2006,12,261,31,42,73,41,5,4,6,2,2,2,1,306,9,0,1,1,4,-4,0,0,0,0,0,7
murrami01,Mickey,Murray,0,1929,1929,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
murrami02,Mike,Murray,0,1987,1987,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
murrapa01,Pat,Murray,0,1990,1991,2,25,3,1,4,15,-2,1,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0
murrara01,Randy,Murray,0,1969,1969,1,3,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
murrare01,Rem,Murray,0,1996,2005,10,560,94,121,215,161,1,12,22,11,7,15,3,752,62,5,12,17,18,-6,1,1,0,2,0,66
murraro01,Rob,Murray,0,1989,1998,10,107,4,15,19,111,-10,0,0,0,0,1,0,61,9,0,0,0,18,-1,0,0,0,0,0,4
murrate01,Terry,Murray,0,1972,1981,10,302,4,76,80,199,-20,0,0,0,0,0,0,274,18,2,2,4,10,0,0,0,0,0,0,0
murratr01,Troy,Murray,0,1981,1995,15,915,230,354,584,875,49,42,59,20,10,32,5,1535,113,17,26,43,145,-31,4,1,0,0,1,133
mursaja01,Jan,Mursak,0,2010,2011,2,44,2,2,4,4,-1,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0
murzyda01,Dana,Murzyn,0,1985,1998,14,838,52,152,204,1571,138,3,4,3,6,7,1,1012,82,9,10,19,166,4,1,0,1,2,1,116
musilfr01,Frantisek,Musil,0,1986,2000,15,797,34,106,140,1241,93,4,12,3,3,5,1,709,42,2,4,6,47,-4,0,0,0,1,0,39
muzzaja01,Jason,Muzzatti,0,1993,1997,5,62,0,1,1,61,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
muzzija01,Jake,Muzzin,0,2010,2010,1,11,0,1,1,0,-2,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
myersha01,Hap,Myers,0,1970,1970,1,13,0,0,0,6,-11,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0
myersty01,Tyler,Myers,0,2009,2011,3,217,29,79,108,105,18,9,28,0,1,7,0,310,13,2,5,7,20,-4,0,4,0,0,0,27
myhrebr01,Brantt,Myhres,0,1994,2002,9,154,6,2,8,687,-9,0,0,0,0,2,0,27,0,0,0,0,0,0,0,0,0,0,0,0
mylesvi01,Vic,Myles,0,1942,1942,1,45,6,9,15,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
myllyja01,Jarmo,Myllys,0,1988,1991,4,39,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mylnise01,Sergei,Mylnikov,0,1989,1989,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
myreph01,Phil,Myre,0,1969,1982,14,439,0,10,10,101,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
myrvoan01,Anders,Myrvold,0,1995,2003,9,33,0,5,5,12,-6,0,3,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0
nabokdm01,Dmitri,Nabokov,0,1997,1999,3,55,11,13,24,28,-5,3,4,0,0,2,0,78,0,0,0,0,0,0,0,0,0,0,0,0
nabokev01,Evgeni,Nabokov,0,1999,2011,13,605,1,9,10,106,0,1,5,0,1,0,0,2,80,0,2,2,6,0,0,0,0,0,0,0
nachbdo01,Don,Nachbaur,0,1980,1989,10,223,23,46,69,465,-17,2,0,0,0,1,0,220,11,1,1,2,24,1,0,0,0,0,1,3
nagyla01,Ladislav,Nagy,0,1999,2007,9,435,115,196,311,358,35,40,76,1,1,25,1,991,18,2,2,4,23,-2,0,0,0,0,0,35
nahrgji01,Jim,Nahrgang,0,1974,1976,3,57,5,12,17,34,-17,3,0,1,0,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0
namesjo01,John,Namestnikov,0,1993,1999,7,43,0,9,9,24,-2,0,2,0,0,0,0,35,2,0,0,0,2,0,0,0,0,0,0,1
nannelo01,Lou,Nanne,0,1967,1977,11,635,68,157,225,356,-106,18,0,1,0,10,5,886,32,4,10,14,8,0,0,0,0,0,2,0
nantari01,Rich,Nantais,0,1974,1976,3,63,5,4,9,79,-8,0,0,0,0,1,0,38,0,0,0,0,0,0,0,0,0,0,0,0
napiema01,Mark,Napier,0,1978,1988,11,767,235,306,541,157,144,33,0,6,0,28,11,1397,82,18,24,42,11,7,6,0,1,0,1,66
nashbr01,Brendon,Nash,0,2010,2010,1,2,0,0,0,0,-1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
nashri01,Rick,Nash,0,2002,2011,10,674,289,258,547,568,-71,83,99,14,5,44,2,2278,4,1,2,3,2,-4,0,2,0,0,0,13
nashri02,Riley,Nash,0,2011,2011,1,5,0,1,1,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
nashty01,Tyson,Nash,0,1998,2005,8,374,27,37,64,673,2,1,1,2,2,4,0,452,23,3,2,5,52,-1,0,0,0,0,0,19
nasluma01,Mats,Naslund,0,1982,1994,13,651,251,383,634,111,116,68,48,2,0,35,1,1359,102,35,57,92,33,12,16,8,1,0,9,214
nasluma02,Markus,Naslund,0,1993,2008,16,1117,395,474,869,736,6,126,202,6,2,53,4,3046,52,14,22,36,56,-7,7,11,0,0,1,157
nasreal01,Alain,Nasreddine,0,1998,2007,10,74,1,4,5,84,9,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0
nattrra01,Ralph,Nattrass,0,1946,1949,4,223,18,38,56,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nattrri01,Ric,Nattress,0,1982,1992,11,536,29,135,164,377,-8,3,2,0,3,8,0,682,67,5,10,15,68,6,0,0,0,1,1,78
natysmi01,Mike,Natyshak,0,1987,1987,1,4,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
naumegr01,Gregg,Naumenko,0,2000,2000,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nazaran01,Andrei,Nazarov,0,1993,2005,13,571,53,71,124,1409,-69,6,10,0,0,5,1,592,9,0,0,0,11,0,0,0,0,0,0,5
ndurru01,Rumun,Ndur,0,1996,1999,4,69,2,3,5,137,-18,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0
nealja01,James,Neal,0,2008,2011,4,314,113,105,218,268,-3,34,26,1,1,13,0,912,12,3,5,8,18,-4,1,3,0,0,1,48
neatopa01,Pat,Neaton,0,1993,1993,1,9,1,1,2,12,3,1,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0
nechavi01,Viktor,Nechayev,0,1982,1982,1,3,1,0,1,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
neckast01,Stan,Neckar,0,1994,2003,10,510,12,41,53,316,-71,1,2,1,2,2,0,289,29,0,3,3,8,0,0,0,0,0,0,10
nedomva01,Vaclav,Nedomansky,0,1977,1982,6,421,122,156,278,88,-92,45,0,0,0,11,3,873,7,3,5,8,0,0,1,0,0,0,0,0
nedoran01,Andrej,Nedorost,0,2001,2003,3,28,2,3,5,12,-9,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0
nedorva01,Vaclav,Nedorost,0,2001,2003,3,99,10,10,20,34,-2,4,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0
