Player,GP,G,A,TP,PPG,PIM,Years,POS,firstYear,lastYear,Art Ross Awards,Conn Smythe Awards,Hart Awards,Calder Awards,James Norris Awards,Ted Lindsay Awards,Maurice Richard Awards,Cups,All-Star Games,HoF
Martin St. Louis,1134,391,642,1033,0.911,310,16,RW,1998,2015,2,0,1,0,0,1,0,1,6,1
Teemu Selanne,1451,684,773,1457,1.004,660,21,RW,1992,2014,0,0,0,1,0,0,1,1,10,1
Nicklas Lidstrom,1564,264,878,1142,0.73,514,20,D,1991,2012,0,1,0,0,7,0,0,4,11,1
Chris Pronger,1167,157,541,698,0.598,1590,18,D,1993,2012,0,0,1,0,1,0,0,1,5,1
Mark Recchi,1652,577,956,1533,0.928,1033,22,RW,1988,2011,0,0,0,0,0,0,0,3,7,1
Mike Modano,1499,561,813,1374,0.917,926,22,C,1988,2011,0,0,0,0,0,0,0,1,7,1
Peter Forsberg,708,249,636,885,1.25,688,14,C,1994,2011,1,0,1,1,0,0,0,2,5,1
