Player,GP,G,A,TP,PPG,PIM,POS,firstYear,lastYear,Awards,Cups,All-Star Games,HoF
Murray Craven,1071,266,493,759,0.7090000000000001,524,1,1982,2000,0,0,0,0
Mike Ridley,866,292,466,758,0.875,424,1,1985,1997,0,0,1,0
Scott Young,1181,342,415,757,0.6409999999999999,448,1,1987,2006,0,2,0,0
Scott Gomez,1079,181,575,756,0.701,655,1,1999,2016,1,2,2,0
Steve Duchesne,1113,227,526,752,0.6759999999999999,824,2,1986,2002,0,1,3,0
Craig Janney,760,188,563,751,0.988,170,1,1987,1999,0,0,0,0
Olli Jokinen,1231,321,429,750,0.609,1071,1,1997,2015,0,0,1,0
Bobby Holik,1314,326,421,747,0.568,1421,1,1990,2009,0,2,2,0
Steve Sullivan,1011,290,457,747,0.7390000000000001,587,1,1995,2013,0,0,0,0
Russ Courtnall,1029,297,447,744,0.723,557,1,1983,1999,0,0,1,0
Mathieu Schneider,1289,223,521,744,0.5770000000000001,1250,2,1987,2010,0,1,2,0
Greg Adams,1056,355,388,743,0.7040000000000001,326,1,1984,2001,0,0,1,0
Mark Howe,929,197,545,742,0.799,455,2,1979,1995,0,0,4,1
Scott Niedermayer,1263,172,574,740,0.586,784,2,1991,2010,2,4,5,1
Miroslav Satan,1050,363,372,735,0.7,464,1,1995,2010,0,1,2,0
Andrew Brunette,1109,268,465,733,0.6609999999999999,314,1,1995,2012,0,0,0,0
Andrew Cassels,1015,204,528,732,0.721,410,1,1989,2006,0,0,0,0
Bobby Carpenter,1178,320,408,728,0.618,919,1,1981,1999,0,1,1,0
Murray Oliver,1127,274,454,728,0.6459999999999999,320,1,1957,1975,0,0,5,0
Mike Foligno,1018,355,372,727,0.7140000000000001,2045,1,1979,1994,0,0,0,0
Cory Stillman,1025,278,449,727,0.7090000000000001,489,1,1994,2011,0,2,0,0
Kevin Stevens,874,329,397,726,0.831,1470,1,1987,2002,0,2,3,0
Bob Nevin,1128,307,419,726,0.644,211,1,1957,1976,0,2,4,0
Dave Babych,1194,142,581,723,0.606,970,2,1980,1999,0,0,2,0
Petr Sykora,1017,323,398,721,0.7090000000000001,433,1,1995,2012,0,2,0,0
Dave Gagner,946,318,401,719,0.76,1016,1,1984,1999,0,0,1,0
Alexei Zhamnov,807,249,470,719,0.8909999999999999,668,1,1992,2006,0,0,1,0
Petr Nedved,982,310,407,717,0.73,708,1,1990,2007,0,0,0,0
Martin Straka,954,257,460,717,0.752,360,1,1992,2008,0,0,1,0
Zigmund Palffy,684,329,384,713,1.042,322,1,1993,2006,0,0,3,0
George Armstrong,1187,296,417,713,0.601,721,1,1949,1971,0,4,7,1
Vic Hadfield,1002,323,389,712,0.711,1154,1,1961,1977,0,0,2,0
Charlie Simmer,712,342,369,711,0.999,544,1,1974,1988,0,0,2,0
Doug Mohns,1390,248,462,710,0.511,1250,1,1953,1975,0,0,7,0
Robert Lang,989,261,442,703,0.711,424,1,1992,2010,0,0,1,0
Bobby Rousseau,942,245,458,703,0.746,359,1,1960,1975,1,4,3,0
Rene Robert,744,284,418,702,0.944,597,1,1970,1982,0,0,2,0
Rick Martin,685,384,317,701,1.023,477,1,1971,1982,0,0,7,0
Mel Bridgman,977,252,449,701,0.718,1625,1,1975,1989,0,0,0,0
Geoff Sanderson,1104,355,345,700,0.634,511,1,1990,2008,0,0,2,0
Chris Pronger,1167,157,541,698,0.598,1590,2,1993,2012,2,1,5,1
Clark Gillies,958,319,378,697,0.728,1023,1,1974,1988,0,4,1,1
Daniel Briere,973,307,389,696,0.715,744,1,1997,2015,0,0,2,0
Cam Neely,726,395,299,694,0.956,1241,1,1983,1996,0,0,5,1
Mike Bullard,755,336,358,694,0.919,741,1,1980,1992,0,0,1,0
Shayne Corson,1156,273,420,693,0.599,2357,1,1985,2004,0,0,3,0
Kent Nilsson,553,264,422,686,1.241,116,1,1979,1995,0,1,2,0
Danny Gare,827,354,331,685,0.828,1285,1,1974,1987,0,0,2,0
Dan Quinn,805,266,419,685,0.851,533,1,1983,1997,0,0,0,0
Reed Larson,904,222,463,685,0.758,1391,2,1976,1990,0,0,3,0
Don Lever,1020,313,367,680,0.667,593,1,1972,1987,0,0,1,0
Michael Nylander,920,209,470,679,0.738,468,1,1992,2009,0,0,0,0
Walt Tkaczuk,945,227,451,678,0.7170000000000001,556,1,1967,1981,0,0,1,0
Kevin Hatcher,1157,227,450,677,0.585,1392,2,1984,2001,0,0,5,0
Jozef Stumpel,957,196,481,677,0.7070000000000001,245,1,1991,2008,0,0,0,0
Tim Kerr,655,370,304,674,1.029,596,1,1980,1993,0,0,3,0
Phil Goyette,941,207,467,674,0.716,131,1,1956,1972,0,4,4,0
Paul MacLean,719,324,349,673,0.936,968,1,1980,1991,0,0,1,0
Stan Smyl,898,262,411,673,0.7490000000000001,1556,1,1978,1991,0,0,0,0
Daymond Langkow,1090,270,402,672,0.617,547,1,1995,2012,0,0,0,0
Craig Ramsay,1070,252,420,672,0.628,201,1,1971,1985,0,0,1,0
Reggie Leach,934,381,285,666,0.713,387,1,1970,1983,0,1,2,0
Guy Carbonneau,1318,260,403,663,0.503,820,1,1980,2000,0,3,0,1
Jamie Langenbrunner,1109,243,420,663,0.598,837,1,1994,2013,0,2,0,0
Martin Gelinas,1273,308,351,659,0.518,820,1,1988,2008,0,1,0,0
Red Berenson,987,261,397,658,0.667,305,1,1961,1978,0,1,6,0
Kelly Kisio,761,229,429,658,0.865,768,1,1982,1995,0,0,1,0
Ray Sheppard,817,357,300,657,0.804,212,1,1987,2000,0,0,0,0
Ulf Dahlen,966,301,354,655,0.6779999999999999,230,1,1987,2003,0,0,0,0
Dennis Hull,959,303,351,654,0.682,261,1,1964,1978,0,0,5,0
Barry Pederson,701,238,416,654,0.933,472,1,1980,1992,0,1,2,0
Glen Murray,1009,337,314,651,0.645,679,1,1991,2008,0,0,2,0
Bryan Smolinski,1055,274,377,651,0.617,606,1,1992,2008,0,0,0,0
Randy Carlyle,1055,148,499,647,0.613,1400,2,1976,1993,1,0,4,0
Ryan Walter,1003,264,382,646,0.644,946,1,1978,1993,0,1,1,0
Igor Larionov,921,169,475,644,0.6990000000000001,474,1,1989,2004,0,3,1,1
Bob Pulford,1079,281,362,643,0.596,792,1,1956,1972,0,4,6,1
Ron Ellis,1034,332,308,640,0.619,207,1,1963,1981,0,1,4,0
Tony McKegney,912,320,319,639,0.701,517,1,1978,1991,0,0,0,0
Ralph Backstrom,1032,278,361,639,0.619,386,1,1956,1973,1,6,6,0
James Patrick,1280,149,490,639,0.499,759,2,1983,2004,0,0,0,0
Roman Hamrlik,1395,155,483,638,0.457,1408,2,1992,2013,0,0,3,0
Teppo Numminen,1372,117,520,637,0.464,513,2,1988,2009,0,0,3,0
Brian Sutter,779,303,333,636,0.816,1786,1,1976,1988,0,0,3,0
Anton Stastny,650,252,384,636,0.978,150,1,1980,1989,0,0,0,0
Mats Naslund,651,251,383,634,0.974,111,1,1982,1995,0,1,3,0
John Anderson,814,282,349,631,0.775,263,1,1977,1989,0,0,0,0
Robert Reichel,830,252,378,630,0.759,388,1,1990,2004,0,0,0,0
Esa Tikkanen,877,244,385,630,0.718,1077,1,1984,1999,0,5,0,0
Brent Ashton,998,284,345,629,0.63,635,1,1979,1993,0,0,0,0
Ed Westfall,1226,231,394,625,0.51,544,1,1961,1979,0,2,4,0
Brian Mullen,832,255,362,622,0.748,414,1,1982,1993,0,0,1,0
Guy Lapointe,884,171,451,622,0.7040000000000001,893,2,1968,1984,0,6,4,1
Ron Duguay,864,274,346,620,0.718,582,1,1977,1989,0,0,1,0
Keith Primeau,909,266,353,619,0.6809999999999999,1541,1,1990,2006,0,0,2,0
David Legwand,1136,228,390,618,0.544,551,1,1998,2016,0,0,0,0
Adam Graves,1152,329,287,616,0.535,1224,1,1987,2003,0,2,1,0
Fred Stanfield,914,211,405,616,0.674,134,1,1964,1978,0,2,0,0
Chris Drury,892,260,355,615,0.6890000000000001,468,1,1998,2011,1,1,0,0
Derek King,830,261,351,612,0.737,417,1,1986,2000,0,0,0,0
Martin Rucinsky,961,241,371,612,0.637,821,1,1991,2008,0,0,1,0
Ron Greschner,982,179,431,610,0.621,1226,2,1974,1990,0,0,1,0
Dickie Moore,719,261,347,608,0.846,652,1,1951,1968,2,6,6,1
Peter Zezel,873,219,389,608,0.696,435,1,1984,1999,0,0,0,0
Walt McKechnie,955,214,392,606,0.635,469,1,1967,1983,0,0,0,0
Terry O'Reilly,891,204,402,606,0.68,2095,1,1971,1985,0,0,2,0
"Syl Apps, Jr.",727,183,423,606,0.8340000000000001,311,1,1970,1980,0,0,1,0
Mike Ricci,1099,243,362,605,0.551,974,1,1990,2007,0,1,0,0
Dan Boyle,1093,163,442,605,0.5539999999999999,693,2,1998,2016,0,1,2,0
Simon Gagne,822,291,310,601,0.731,328,1,1999,2015,0,1,2,0
Brendan Morrison,934,200,401,601,0.643,450,1,1997,2012,0,0,0,0
Garry Galley,1149,125,475,600,0.522,1218,2,1984,2001,0,0,2,0
Michal Pivonka,825,181,418,599,0.726,478,1,1986,1999,0,0,0,0
Stu Barnes,1136,261,336,597,0.526,438,1,1991,2008,0,0,0,0
Dmitri Khristich,811,259,338,597,0.736,422,1,1990,2002,0,0,2,0
Martin Havlat,790,242,352,594,0.752,404,1,2000,2016,0,0,2,0
Jean-Paul Parise,890,238,356,594,0.667,706,1,1965,1979,0,0,2,0
Thomas Gradin,677,209,384,593,0.8759999999999999,298,1,1978,1987,0,0,1,0
Al MacAdam,864,240,351,591,0.684,509,1,1973,1985,0,0,2,0
Dainius Zubrus,1293,228,363,591,0.457,791,1,1996,2016,0,0,0,0
Radek Dvorak,1260,227,363,590,0.468,449,1,1995,2014,0,0,0,0
Don Marshall,1176,265,324,589,0.501,127,1,1951,1972,0,5,7,0
Claude Provost,1005,254,335,589,0.586,469,1,1955,1970,0,9,11,0
Patrik Sundstrom,676,219,369,588,0.87,349,1,1982,1992,0,0,0,0
Carol Vadnais,1087,169,418,587,0.54,1813,2,1966,1983,0,2,6,0
Steve Vickers,698,246,340,586,0.84,330,1,1972,1982,1,0,2,0
Jeff Brown,747,154,431,585,0.7829999999999999,498,2,1985,1998,0,0,0,0
Mario Tremblay,852,258,326,584,0.685,1043,1,1974,1986,0,5,0,0
Troy Murray,915,230,354,584,0.638,875,1,1981,1996,0,1,0,0
Keith Acton,1023,226,358,584,0.5710000000000001,1172,1,1979,1994,0,1,1,0
Bob Bourne,964,258,324,582,0.604,605,1,1974,1988,0,4,1,0
Don McKenney,798,237,345,582,0.7290000000000001,211,1,1954,1968,0,1,7,0
Tom Fergus,726,235,346,581,0.8,499,1,1981,1993,0,0,0,0
Fredrik Olausson,1022,147,434,581,0.568,450,2,1986,2003,0,1,0,0
Shawn McEachern,911,256,323,579,0.636,506,1,1991,2006,0,1,0,0
Laurie Boschman,1009,229,348,577,0.5720000000000001,2265,1,1979,1993,0,0,0,0
Robert MacMillan,753,228,349,577,0.7659999999999999,260,1,1974,1985,0,0,0,0
Brenden Morrow,991,265,310,575,0.58,1362,1,1999,2015,0,0,0,0
Guy Chouinard,578,205,370,575,0.995,120,1,1974,1984,0,0,0,0
Eric Desjardins,1143,136,439,575,0.503,757,2,1988,2006,0,1,3,0
Eric Nesterenko,1219,250,324,574,0.471,1273,1,1951,1972,0,1,2,0
Petr Klima,786,313,260,573,0.7290000000000001,671,1,1985,1999,0,1,0,0
Jim Pappin,767,278,295,573,0.747,667,1,1963,1977,0,2,5,0
Dick Duff,1030,283,289,572,0.555,743,1,1954,1972,0,6,7,1
Joe Juneau,828,156,416,572,0.691,271,1,1991,2004,0,0,0,0
Sergei Samsonov,888,235,336,571,0.643,209,1,1997,2011,1,0,1,0
Kimmo Timonen,1108,117,454,571,0.515,654,2,1998,2015,0,1,4,0
Mike Krushelnyski,897,241,328,569,0.634,699,1,1981,1995,0,3,1,0
Chris Gratton,1092,214,354,568,0.52,1638,1,1993,2009,0,0,0,0
Dave Ellett,1129,153,415,568,0.503,985,2,1984,2000,0,0,2,0
Ross Lonsberry,968,256,310,566,0.585,806,1,1966,1981,0,2,1,0
Wendel Clark,793,330,234,564,0.711,1690,1,1985,2000,0,0,2,0
Don Maloney,765,214,350,564,0.737,815,1,1978,1991,0,0,2,0
Sandis Ozolins,875,167,397,564,0.645,638,2,1992,2008,0,1,7,0
Rob Ramage,1044,139,425,564,0.54,2224,2,1979,1994,0,2,4,0
Tomas Kaberle,984,87,476,563,0.5720000000000001,260,2,1998,2013,0,1,0,0
Jimmy Carson,626,275,286,561,0.8959999999999999,254,1,1986,1996,0,0,1,0
Tony Tanti,697,287,273,560,0.8029999999999999,661,1,1981,1992,0,0,1,0
Paul Reinhart,648,133,426,559,0.863,277,2,1979,1990,0,0,2,0
"Billy Harris, Jr.",897,231,327,558,0.622,394,1,1972,1984,0,0,1,0
Bobby Schmautz,764,271,286,557,0.7290000000000001,988,1,1967,1981,0,0,2,0
Mike Murphy,831,238,318,556,0.669,514,1,1971,1983,0,0,1,0
Pete Stemkowski,967,206,349,555,0.574,866,1,1963,1978,0,1,1,0
Bengt-Ake Gustafsson,629,196,359,555,0.882,196,1,1979,1989,0,0,0,0
Don Luce,894,225,329,554,0.62,364,1,1969,1982,0,0,1,0
John Cullen,621,187,363,550,0.8859999999999999,898,1,1988,1999,0,0,2,0
Mike Knuble,1068,278,270,548,0.513,641,1,1996,2013,0,1,0,0
Mike Sillinger,1049,240,308,548,0.522,644,1,1990,2009,0,0,0,0
Martin Erat,881,176,369,545,0.619,506,1,2001,2015,0,0,0,0
Benoit Hogue,863,222,321,543,0.629,877,1,1987,2002,0,1,0,0
Gary Dornhoefer,787,214,328,542,0.6890000000000001,1291,1,1963,1978,0,2,2,0
Craig Conroy,1009,182,360,542,0.537,603,1,1994,2011,0,0,0,0
Bill Goldsworthy,771,283,258,541,0.7020000000000001,763,1,1964,1978,0,0,4,0
Mark Napier,767,235,306,541,0.705,157,1,1978,1989,0,2,0,0
Doug Harvey,1113,88,452,540,0.485,1216,2,1947,1969,7,6,13,1
Viktor Kozlov,897,198,339,537,0.599,248,1,1994,2009,0,0,1,0
Glen Wesley,1457,128,409,537,0.369,1045,2,1987,2008,0,1,1,0
Tim Young,628,195,341,536,0.8540000000000001,438,1,1975,1985,0,0,1,0
Danny Grant,736,263,272,535,0.727,239,1,1965,1979,1,1,3,0
Ron Sutter,1093,205,330,535,0.489,1352,1,1982,2001,0,0,0,0
Calle Johansson,1110,119,416,535,0.482,519,2,1987,2004,0,0,0,0
Kenny Wharram,766,252,281,533,0.696,222,1,1951,1969,0,1,2,0
Erik Cole,892,265,267,532,0.596,659,1,2001,2015,0,1,0,0
Mark Osborne,919,212,319,531,0.578,1152,1,1981,1995,0,0,0,0
